word,reading,pos,english
ああ,ああ,N,"Ah!, Oh!"
会う,あう,V,"to meet, to see"
青,あお,N,blue
青い,あおい,N,blue
赤,あか,N,red
赤い,あかい,N,red
明るい,あかるい,N,bright (in reference to personality or weather); cheerful
秋,あき,N,fall (season)
開く,あく,V,"to open, to become open"
開ける,あける,V,to open (v.t.)
上げる,あげる,V,"to raise, to lift"
朝,あさ,N,morning
朝御飯,あさごはん,N,breakfast
明後日,あさって,N,day after tomorrow
足,あし,N,foot; leg
明日,あした,N,tomorrow
あそこ,あそこ,N,"there, over there, that place"
遊ぶ,あそぶ,V,to play; to spend time pleasantly; to hang out
暖かい,あたたかい,N,warm
頭,あたま,N,head
新しい,あたらしい,N,new
あちら,あちら,N,this way (polite)
暑い,あつい,N,"hot (in reference to weather), warm"
熱い,あつい,N,hot (objects)
厚い,あつい,N,"kind, warm(hearted), thick, deep"
あっち,あっち,N,over there
後,あと,N,afterwards (later); in the future; the rest; since then
あなた,あなた,N,you
兄,あに,N,(my) older brother (humble)
姉,あね,N,(my) older sister (humble)
アパート,アパート,N,apartment (abbr.)
あの,あの,N,"that over there; like that, that way; um..."
浴びる,あびる,V,"to bathe, to shower"
危ない,あぶない,N,"dangerous, critical"
甘い,あまい,N,"generous, sweet"
余り,あまり,N,not very; surplus
雨,あめ,N,rain
飴,あめ,N,(hard) candy
洗う,あらう,V,to wash
在る,ある,V,"to be, to have"
有る,ある,V,"to be, to have"
歩く,あるく,V,to walk
あれ,あれ,N,that one (over there)
いい,いい,N,good
いいえ,いいえ,N,"no, not at all"
言う,いう,V,to say
家,いえ,N,"house, home"
いかが,いかが,N,"how, in what way"
行く,いく,V,to go
いくつ,いくつ,N,"how many, how old"
いくら,いくら,N,"how much, how many"
池,いけ,N,pond
医者,いしゃ,N,doctor; physician
椅子,いす,N,chair
忙しい,いそがしい,N,"busy (people, days)"
痛い,いたい,N,hurt; painful; sore
一,いち,N,one
一日,いちにち,N,one day (duration)
一番,いちばん,N,"best (most), first, number one"
いつ,いつ,N,when
五日,いつか,N,five days; fifth day of the month
一緒,いっしょ,N,together
五つ,いつつ,N,five things
いつも,いつも,V,"always, usually, every time, never (with neg. verb)"
犬,いぬ,N,dog
今,いま,N,now
意味,いみ,N,"meaning, significance"
妹,いもうと,N,younger sister (humble)
嫌,いや,N,"disagreeable, detestable, unpleasant"
入口,いりぐち,N,entrance
居る,いる,N,"(humble) to be (animate), to exist"
要る,いる,V,to need
入れる,いれる,V,to put in
色,いろ,N,color
色々,いろいろ,N,various
上,うえ,N,"above (up, top, etc.), over, on top of"
後ろ,うしろ,N,"back, behind, rear"
薄い,うすい,N,"thin, weak"
歌,うた,N,a song
歌う,うたう,V,to sing
うち,うち,N,home; house; my place
生まれる,うまれる,V,to be born
海,うみ,N,"sea, beach"
売る,うる,V,to sell (v.t.)
うるさい,うるさい,N,noisy; annoying
上着,うわぎ,N,"coat, jacket"
絵,え,N,a painting; a picture; a drawing
映画,えいが,N,"movie, film"
映画館,えいがかん,N,"movie theater, cinema"
英語,えいご,N,English (language)
ええ,ええ,N,yes
駅,えき,N,station
エレベーター,エレベーター,N,elevator
鉛筆,えんぴつ,N,pencil
美味しい,おいしい,N,"delicious, tasty"
多い,おおい,N,many; there are a lot
大きい,おおきい,N,"big, large"
大きな,おおきな,N,big
大勢,おおぜい,N,great number of people
お母さん,おかあさん,N,mother (formal)
お菓子,おかし,N,"confections, sweets, snack"
お金,おかね,N,money
