word,reading,pos,english
起きる,おきる,V,"to get up (e.g., from sleeping); to happen"
置く,おく,V,to put; to lay; to place
奥さん,おくさん,N,(someone else's) wife (hon.)
お酒,おさけ,N,sake; alcohol
お皿,おさら,N,"plate, dish"
伯父,おじさん,N,"uncle, middle-aged man"
おじいさん,おじいさん,N,"grandfather, male senior citizen"
教える,おしえる,V,"to teach, to inform, to instruct"
押す,おす,V,"to push, to press, to stamp (e.g., a passport)"
遅い,おそい,N,slow; (to be) late
お茶,おちゃ,N,(green) tea
お手洗い,おてあらい,N,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
お父さん,おとうさん,N,father (formal)
弟,おとうと,N,younger brother
男,おとこ,N,"man, male"
男の子,おとこのこ,N,boy
一昨日,おととい,N,the day before yesterday
おととし,おととし,N,year before last
大人,おとな,N,adult
お腹,おなか,N,stomach
同じ,おなじ,N,"same, identical"
お兄さん,おにいさん,N,(someone else's) older brother (formal)
お姉さん,おねえさん,N,older sister (formal)
伯母さん,おばさん,N,aunt
おばあさん,おばあさん,N,"grandmother, female senior-citizen"
お風呂,おふろ,N,a bath
お弁当,おべんとう,N,a boxed lunch
覚える,おぼえる,V,"to learn, to commit to memory, to remember, to memorize"
おまわりさん,おまわりさん,N,policeman (friendly term)
重い,おもい,N,heavy; serious
面白い,おもしろい,N,"interesting, amusing"
泳ぐ,およぐ,V,to swim
降りる,おりる,V,to get off
終る,おわる,V,"to finish, to close"
音楽,おんがく,N,Music
女,おんな,N,"woman, female"
女の子,おんなのこ,N,girl
外国,がいこく,N,foreign country; abroad
外国人,がいこくじん,N,foreigner
会社,かいしゃ,N,"company, corporation"
階段,かいだん,N,stairs
買い物,かいもの,N,shopping
買う,かう,V,to buy
返す,かえす,V,to return something
帰る,かえる,V,"to go back, to go home, to return"
顔,かお,N,face (body part)
かかる,かかる,V,"it takes (amount of time, money) (v.i.)"
鍵,かぎ,N,a lock; a key
書く,かく,V,to write
学生,がくせい,N,student
掛ける,かける,V,"to put on (e.g., glasses); to hang (e.g., on a wall)"
かける,かける,V,"to dial/call (e.g., phone); to sit down"
傘,かさ,N,"umbrella, parasol"
貸す,かす,V,to lend
風,かぜ,N,"wind, breeze"
風邪,かぜ,N,"cold, flu"
方,かた,N,-- honorific form for 人 (ひと) --; way of doing
家族,かぞく,N,"family, members of a family"
片仮名,かたかな,N,katakana
学校,がっこう,N,a school
カップ,カップ,N,cup
家庭,かてい,N,home; family
角,かど,N,"corner (e.g., desk, pavement)"
かばん,かばん,N,"bag, basket"
花瓶,かびん,N,(flower) vase
かぶる,かぶる,V,"to wear, to put on (e.g., a hat on the head)"
紙,かみ,N,paper
カメラ,カメラ,N,camera
火曜日,かようび,N,Tuesday
辛い,からい,N,hot and spicy; salty
体,からだ,N,body; health
借りる,かりる,V,"to borrow, to owe"
軽い,かるい,N,"light, non-serious, minor"
カレー,カレー,N,curry (abbr. for curry and rice)
カレンダー,カレンダー,N,calendar
川,かわ,N,river
可愛い,かわいい,N,"cute, adorable"
漢字,かんじ,N,kanji; Chinese character
木,き,N,"tree, wood, timber"
黄色,きいろ,N,yellow
黄色い,きいろい,N,yellow
消える,きえる,V,"to vanish, to disappear"
聞く,きく,V,"to hear, to listen, to ask"
北,きた,N,north
ギター,ギター,N,guitar
汚い,きたない,N,"dirty, unclean, filthy"
喫茶店,きっさてん,N,café
切手,きって,N,postal (postage) stamps
切符,きっぷ,N,a ticket
昨日,きのう,N,yesterday
九,きゅう,N,nine
牛肉,ぎゅうにく,N,beef
牛乳,ぎゅうにゅう,N,milk
今日,きょう,N,"today, this day"
教室,きょうしつ,N,classroom
兄弟,きょうだい,N,"siblings (humble), brothers and sisters"
去年,きょねん,N,last year
嫌い,きらい,N,dislike
切る,きる,V,to cut; to hang up (a phone)
着る,きる,V,to put on (clothes above your waist); to wear
綺麗,きれい,N,"pretty, clean, tidy"
キロ,キロ,N,(abbr.) kilo (kilogram)
銀行,ぎんこう,N,bank
金曜日,きんようび,N,Friday
薬,くすり,N,medicine
下さい,ください,V,(with te-form verb) please do for me
果物,くだもの,N,fruit
口,くち,N,job opening; mouth
靴,くつ,N,"shoes, footwear"
靴下,くつした,N,socks
国,くに,N,country; place of origin
曇り,くもり,N,"cloudiness, cloudy weather"
曇る,くもる,V,"to become cloudy, to become dim"
暗い,くらい,N,"dark, gloomy"
クラス,クラス,N,a class
グラム,グラム,N,gram
来る,くる,V,to come
車,くるま,N,"car, vehicle"
黒,くろ,N,black
黒い,くろい,N,black; dark
警官,けいかん,N,police officer
今朝,けさ,N,this morning
消す,けす,V,"to erase, to delete, to turn off power"
結構,けっこう,N,"splendid; enough, tolerably"
結婚,けっこん (する),N,marriage (get married)
月曜日,げつようび,N,Monday
玄関,げんかん,N,entrance (to a house or a building)
元気,げんき,N,"health(y), energetic"
五,ご,N,five
公園,こうえん,N,a park
交差点,こうさてん,N,intersection
紅茶,こうちゃ,N,black tea
交番,こうばん,N,police box
声,こえ,N,voice
コート,コート,N,"coat; court (e.g., tennis)"
コーヒー,コーヒー,N,coffee
ここ,ここ,N,"here, this place"
午後,ごご,N,"afternoon, P.M."
九日,ここのか,N,nine days; ninth day of the month
九つ,ここのつ,N,nine things
午前,ごぜん,N,"morning, A.M."
答える,こたえる,V,"to answer, to reply"
こちら,こちら,N,this person (polite); this way (polite)
こっち,こっち,N,this person; this direction; this side
コップ,コップ,N,a tumbler; a glass
今年,ことし,N,this year
言葉,ことば,N,language; word(s); expression(s)
子供,こども,N,child(ren)
この,この,N,this
御飯,ごはん,N,rice (cooked); meal
コピーする,コピーする,V,to copy
困る,こまる,V,"to be bothered, to have difficulty"
これ,これ,N,this one
今月,こんげつ,N,this month
今週,こんしゅう,N,this week
こんな,こんな,N,"such, like this"
今晩,こんばん,N,"tonight, this evening"
さあ,さあ,N,"come now, well"
財布,さいふ,N,wallet
魚,さかな,N,fish
先,さき,N,"future; recent, previous"
咲く,さく,V,to bloom
作文,さくぶん,N,essay; composition
差す,さす,V,"to raise (stretch out) hands, to raise (e.g., umbrella)"
雑誌,ざっし,N,"magazine, journal"
砂糖,さとう,N,sugar
寒い,さむい,N,cold (in reference to weather)
さ来年,さらいねん,N,year after next
三,さん,N,three
散歩,さんぽ (する),N,"walk, stroll"
四,し,N,four
塩,しお,N,salt
しかし,しかし,N,however; but
時間,じかん,N,time
仕事,しごと,N,"work, job, occupation, employment"
辞書,じしょ,N,dictionary
静か,しずか,N,"quiet, calm"
下,した,N,"under, below, beneath"
七,しち,N,seven
質問,しつもん,N,"question, inquiry"
自転車,じてんしゃ,N,bicycle
自動車,じどうしゃ,N,automobile
死ぬ,しぬ,V,to die
字引,じびき,N,dictionary
自分,じぶん,N,"myself, oneself"
閉まる,しまる,V,"to close, to be closed"
閉める,しめる,V,"to close, to shut"
締める,しめる,V,"to tie, to fasten, to tighten"
じゃ,じゃ,N,"well, well then"
写真,しゃしん,N,a picture; a photograph
シャツ,シャツ,N,shirt
シャワー,シャワー,N,shower
十,じゅう,N,ten
授業,じゅぎょう,N,a class (of school)
宿題,しゅくだい,N,homework
上手,じょうず,N,"be good at, skillful"
丈夫,じょうぶ,N,"strong, solid, durable"
醤油,しょうゆ,N,soy sauce
食堂,しょくどう,N,"cafeteria, dining hall"
知る,しる,V,"to know, to understand"
白,しろ,N,white
白い,しろい,N,white
新聞,しんぶん,N,newspaper
水曜日,すいようび,N,Wednesday
吸う,すう,V,"to breathe in, to suck"
スカート,スカート,N,skirt
好き,すき,N,"liking, fondness, love"
少ない,すくない,N,a little; a few
すぐに,すぐに,N,"immediately, soon"
少し,すこし,N,"little, few"
涼しい,すずしい,N,"cool, refreshing (in reference to weather)"
ストーブ,ストーブ,N,heater (lit: stove)
スプーン,スプーン,N,spoon
スポーツ,スポーツ,N,sport(s)
ズボン,ズボン,N,trousers
住む,すむ,V,"to reside, to live in"
する,する,V,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
座る,すわる,V,to sit
背,せい,N,"(one's) height, stature"
生徒,せいと,N,student; pupil
セーター,セーター,N,sweater
石鹸,せっけん,N,soap
背広,せびろ,N,men's suit
狭い,せまい,N,narrow; not spacious
ゼロ,ゼロ,N,zero
千,せん,N,thousand
先月,せんげつ,N,last month
先週,せんしゅう,N,last week
先生,せんせい,N,"teacher, professor; master; doctor"
洗濯,せんたく,N,"washing, laundry"
全部,ぜんぶ,N,"all, entire, whole"
そう,そう,N,"yes; appears, to be the case"
掃除,そうじ (する),N,"cleaning, sweeping"
そうして,そうして,N,"and, like that"
そこ,そこ,N,"that place, there; bottom, sole"
そちら,そちら,N,over there
そっち,そっち,N,over there
外,そと,N,"outside, exterior"
その,その,N,that
そば,そば,N,"near, close, beside; Japanese traditional buckwheat noodle"
空,そら,N,sky
それ,それ,N,that one
それから,それから,N,"and then, after that"
それでは,それでは,N,"in that situation, well then..."
大学,だいがく,N,college; university
大使館,たいしかん,N,embassy
大丈夫,だいじょうぶ,N,It's ok (all right); No need to worry; Everything is under control
大好き,だいすき,N,"very like-able, like very much"
大切,たいせつ,N,important
台所,だいどころ,N,kitchen
大変,たいへん,N,"very; difficult, hard"
高い,たかい,N,"tall, high; expensive"
沢山,たくさん,N,"many, much"
タクシー,タクシー,N,taxi
出す,だす,V,to take (something) out; to hand in (something)
立つ,たつ,V,to stand up
たて,たて,N,"length, height"
建物,たてもの,N,building
楽しい,たのしい,N,"enjoyable, fun"
頼む,たのむ,V,"to request, to ask (a favor)"
たばこ,たばこ,N,"tobacco, cigarettes"
多分,たぶん,N,"perhaps, probably, maybe"
食べ物,たべもの,N,food
食べる,たべる,V,to eat
卵,たまご,N,egg
誰,だれ,N,who
誰か,だれか,N,someone
誕生日,たんじょうび,N,birthday
段々,だんだん,N,"gradually, by degrees"
小さい,ちいさい,N,"small, little"
小さな,ちいさな,N,"small, little"
近い,ちかい,N,"near, close by, short"
違う,ちがう,V,to be different; to differ; wrong
近く,ちかく,N,nearby; in the neighborhood
地下鉄,ちかてつ,N,"underground train, subway"
地図,ちず,N,a map
父,ちち,N,(my) father
茶色,ちゃいろ,N,brown
茶碗,ちゃわん,N,rice bowl
丁度,ちょうど,N,"just, right, exactly"
ちょっと,ちょっと,N,"a little, somewhat; just a little, somewhat"
使う,つかう,V,to use
疲れる,つかれる,V,to get (become) tired; to become fatigued
次,つぎ,N,next
着く,つく,V,"to arrive at, to reach"
机,つくえ,N,desk
作る,つくる,V,"to make, to create"
つける,つける,V,"to turn on (e.g., a light); to take"
勤める,つとめる,V,to work (for)
つまらない,つまらない,N,"boring, dull; insignificant"
冷たい,つめたい,N,"cold (things, people)"
強い,つよい,N,"strong, powerful"
手,て,N,hand
テープ,テープ,N,tape
テープレコーダー,テープレコーダー,N,tape recorder
テーブル,テーブル,N,table
出かける,でかける,V,to go out; to depart
手紙,てがみ,N,letter
できる,できる,V,to be able to (to accomplish)
出口,でぐち,N,an exit
テスト,テスト,N,test
では,では,N,"then, well, so"
デパート,デパート,N,(abbr.) department store
でも,でも,N,"but, however"
出る,でる,V,"to appear, to leave"
テレビ,テレビ,N,"television, TV"
天気,てんき,N,weather
電気,でんき,N,"electricity, (electric) light"
電車,でんしゃ,N,electric train
電話,でんわ,N,a telephone
戸,と,N,door (Japanese style)
ドア,ドア,N,door (Western style)
トイレ,トイレ,N,bathroom; toilet
どう,どう,N,"how, in what way"
どうして,どうして,N,"why, for what reason"
どうぞ,どうぞ,N,"please, kindly, by all means"
動物,どうぶつ,N,animal
どうも,どうも,N,Thank you; somehow; no matter how hard one may try
遠い,とおい,N,"far (away), distant"
十日,とおか,N,ten days; tenth day of the month
時々,ときどき,N,sometimes
時計,とけい,N,a watch; a clock
どこ,どこ,N,"where, what place"
所,ところ,N,place
年,とし,N,"year, age"
図書館,としょかん,N,library
どちら,どちら,N,which (one) (way); where (polite)
どっち,どっち,N,"which one, which way"
とても,とても,N,"very (much), greatly, exceedingly"
どなた,どなた,N,who
隣,となり,N,"next to, next door to"
どの,どの,N,which
飛ぶ,とぶ,V,"to fly, to hop"
止まる,とまる,V,to come to a halt
友達,ともだち,N,friend
土曜日,どようび,N,Saturday
鳥,とり,N,"chicken (lit., bird)"
鶏肉,とりにく,N,chicken meat
取る,とる,V,to take (a class); to get (a grade)
撮る,とる,V,"to take (a photo), to make (a film)"
どれ,どれ,N,which one
どんな,どんな,N,"what, what kind of"
ない,ない,N,"there isn't, doesn't have"
ナイフ,ナイフ,N,knife
中,なか,N,"inside, middle, among"
長い,ながい,N,"long, lengthy"
鳴く,なく,V,to make sound (animal)
無くす,なくす,V,to lose something
なぜ,なぜ,N,why (same as どうして)
夏,なつ,N,summer
夏休み,なつやすみ,N,summer vacation
七つ,ななつ,N,seven things
何,なん,N,what
七日,なのか,N,seven days; seventh day (of the month)
名前,なまえ,N,name
習う,ならう,V,to learn
並ぶ,ならぶ,V,"to line up, to stand in a line (v.i.)"
並べる,ならべる,V,to put (things) side by side; to line up
なる,なる,V,to become
二,に,N,two
にぎやか,にぎやか,N,"bustling, busy"
肉,にく,N,meat
西,にし,N,west
日曜日,にちようび,N,Sunday
荷物,にもつ,N,luggage; baggage
ニュース,ニュース,N,news
庭,にわ,N,garden
脱ぐ,ぬぐ,V,to take off (clothes)
温い,ぬるい,N,lukewarm
ネクタイ,ネクタイ,N,"tie, necktie"
猫,ねこ,N,cat
寝る,ねる,V,to sleep; to go to sleep; to go to bed
ノート,ノート,N,notebook
登る,のぼる,V,to climb
飲み物,のみもの,N,"drink, beverage"
飲む,のむ,V,to drink
乗る,のる,V,"to get on, to ride in, to board"
歯,は,N,tooth
パーティー,パーティー,N,a party
はい,はい,N,yes
灰皿,はいざら,N,ashtray
入る,はいる,V,"to enter, to contain, to hold"
葉書,はがき,N,postcard
はく,はく,V,to put on (items below your waist)
箱,はこ,N,box
橋,はし,N,bridge
箸,はし,N,chopsticks
始まる,はじまる,N,(something) begins
初め,はじめ,N,"beginning, start"
初めて,はじめて,N,for the first time
走る,はしる,V,to run
バス,バス,N,bus; bath; bass
バター,バター,N,butter
二十歳,はたち,N,20 years old
働く,はたらく,V,to work
八,はち,N,eight
二十日,はつか,N,"twenty days, twentieth (day of the month)"
花,はな,N,flower
鼻,はな,N,nose
話,はなし,N,"talk (chat), story"
話す,はなす,V,to speak
母,はは,N,(my) mother
早い,はやい,N,early
速い,はやい,N,"fast, quick"
春,はる,N,spring
貼る,はる,V,to post; to paste; to attach
晴れ,はれ,N,clear (sunny) weather
晴れる,はれる,V,to be sunny
半,はん,N,"half (e.g., にじはん | half-past two)"
晩,ばん,N,evening
パン,パン,N,bread
ハンカチ,ハンカチ,N,handkerchief
番号,ばんごう,N,"number, series of digits"
晩御飯,ばんごはん,N,"dinner, evening meal"
半分,はんぶん,N,half
東,ひがし,N,east
引く,ひく,V,"to pull, to draw; subtract"
弾く,ひく,V,to play (a string instrument or piano)
低い,ひくい,N,"short, low"
飛行機,ひこうき,N,airplane
左,ひだり,N,left hand side
人,ひと,N,"man, person"
一つ,ひとつ,N,one thing
一月,ひとつき,N,one month
一人,ひとり,N,one person
暇,ひま,N,"free time, leisure"
百,ひゃく,N,hundred
病院,びょういん,N,hospital
病気,びょうき,N,illness; sickness
平仮名,ひらがな,N,hiragana
昼,ひる,N,"noon, daytime"
昼御飯,ひるごはん,N,"lunch, midday meal"
広い,ひろい,N,spacious; wide; broad
フィルム,フィルム,N,film (roll of)
封筒,ふうとう,N,envelope
プール,プール,N,swimming pool
フォーク,フォーク,N,fork
吹く,ふく,V,"to blow (wind, etc.)"
服,ふく,N,clothes
二つ,ふたつ,N,two things
豚肉,ぶたにく,N,pork
二人,ふたり,N,two people
二日,ふつか,N,two days; second day of the month
太い,ふとい,N,"fat, thick"
冬,ふゆ,N,winter
降る,ふる,V,"to precipitate, to fall (e.g., rain, snow, etc.)"
古い,ふるい,N,"old (in reference to objects, not people), aged, ancient"
文章,ぶんしょう,N,"sentence, text"
ページ,ページ,N,a page
下手,へた,N,"unskillful, poor"
ベッド,ベッド,N,bed
ペット,ペット,N,pet
部屋,へや,N,a room
辺,へん,N,"area, vicinity"
ペン,ペン,N,pen
勉強,べんきょう (する),N,study
便利,べんり,N,"convenient, handy"
帽子,ぼうし,N,hat; cap
ボールペン,ボールペン,N,ball-point pen
ポケット,ポケット,N,pocket
欲しい,ほしい,V,"to want, in need of"
ポスト,ポスト,N,"mailbox; post, position"
細い,ほそい,N,"thin, slender, fine"
ボタン,ボタン,N,button
ホテル,ホテル,N,hotel
本,ほん,N,book
本棚,ほんだな,N,bookshelf
本当,ほんとう,N,"real, true"
毎朝,まいあさ,N,every morning
毎月,まいげつ,N,"every month, monthly"
毎週,まいしゅう,N,every week
毎日,まいにち,N,every day
毎年,まいねん,N,"every year, yearly, annually"
毎晩,まいばん,N,every night
前,まえ,N,"before, in front"
曲る,まがる,V,"to turn, to bend"
まずい,まずい,N,"terrible (in reference to food), unappetizing, unpleasant (taste)"
また,また,N,and; furthermore
まだ,まだ,N,"yet, still, besides"
町,まち,N,town; city
待つ,まつ,V,to wait
まっすぐ,まっすぐ,N,"straight (ahead), direct"
マッチ,マッチ,N,match
窓,まど,N,window
丸い,まるい,N,"round, circular"
万,まん,N,ten thousand
万年筆,まんねんひつ,N,fountain pen
磨く,みがく,V,to brush (teeth); to polish
右,みぎ,N,right hand side
短い,みじかい,N,short (length)
水,みず,N,water
店,みせ,N,"store, shop"
見せる,みせる,V,"to show, to display"
道,みち,N,"road, street; way, directions"
三日,みっか,N,"three days, third day of the month"
三つ,みっつ,N,three things
緑,みどり,N,green
皆さん,みなさん,N,"all of you, everyone"
南,みなみ,N,South
耳,みみ,N,ear
見る,みる,V,"to see, to look"
みんな,みんな,N,"all, everyone, everybody"
六日,むいか,N,six days; sixth day of month
向こう,むこう,N,"beyond, over there"
難しい,むずかしい,N,difficult
六つ,むっつ,N,six things
村,むら,N,village
目,め,N,eye(s)
メートル,メートル,N,meter
眼鏡,めがね,N,eye glasses
もう,もう,N,already; again; more
木曜日,もくようび,N,Thursday
もしもし,もしもし,N,Hello? (used on the phone)
持つ,もつ,V,"to hold, to carry; to possess"
もっと,もっと,N,more
物,もの,N,thing (concrete object)
門,もん,N,gate
問題,もんだい,N,a problem
八百屋,やおや,N,greengrocer
野菜,やさい,N,vegetable
易しい,やさしい,N,"easy, plain, simple"
安い,やすい,N,inexpensive; cheap (things)
休み,やすみ,N,holiday; day off; absence
休む,やすむ,V,"to rest, to have a break, to get time off"
八つ,やっつ,N,eight things
山,やま,N,mountain
やる,やる,V,"to do; to give (to pets, parents, siblings, etc.)"
夕方,ゆうがた,N,"late afternoon (typically just before dinner time), evening"
夕飯,ゆうはん,N,"dinner, supper, evening meal"
郵便局,ゆうびんきょく,N,post office
昨夜,ゆうべ,N,last night
有名,ゆうめい,N,famous
雪,ゆき,N,snow
ゆっくりと,ゆっくりと,N,"slowly, at ease"
八日,ようか,N,eight days; eighth day of the month
洋服,ようふく,N,Western-style clothes
よく,よく,N,"frequently, often (much); well, skillfully"
横,よこ,N,beside; side; width
四日,よっか,N,four days; fourth day of the month
四つ,よっつ,N,four things
呼ぶ,よぶ,V,to call (one's name); to invite
読む,よむ,V,to read
夜,よる,N,"evening, night"
弱い,よわい,N,weak
来月,らいげつ,N,next month
来週,らいしゅう,N,next week
来年,らいねん,N,next year
ラジオ,ラジオ,N,radio
ラジオカセ,ラジオカセ,N,radio cassette player
りっぱ,りっぱ,N,"splendid, fine"
留学生,りゅうがくせい,N,international student
両親,りょうしん,N,"parents (lit., both parents)"
料理,りょうり,N,cooking; cuisine
旅行,りょこう,N,"travel, trip"
零,れい,N,"zero, nought"
冷蔵庫,れいぞうこ,N,refrigerator
レコード,レコード,N,record
レストラン,レストラン,N,restaurant
練習,れんしゅう (する),N,(to) practice
廊下,ろうか,N,corridor
六,ろく,N,six
ワイシャツ,ワイシャツ,N,"shirt (lit: white shirt), business shirt"
若い,わかい,N,young
分かる,わかる,V,to understand
忘れる,わすれる,V,to forget
私,わたし,N,"I, myself"
渡す,わたす,V,to hand (something) over (v.t.); to get across
渡る,わたる,V,"to cross over, to go across"
悪い,わるい,N,"bad, sinful; inferior"
