word,reading,pos,english
踏む,ふむ,V,"to step on, to tread on"
すっと,すっと,N,"straight, quickly"
盗む,ぬすむ,V,to steal; to rob
大抵,たいてい,N,"generally, usually"
とうとう,とうとう,N,"finally, at last"
ガソリン,ガソリン,N,"gasoline, petrol"
鳴る,なる,V,"to sound, to ring (v.i.)"
しっかり,しっかり,N,"firmly, steady"
生きる,いきる,V,to live
苦い,にがい,N,bitter
沸く,わく,V,"to boil, to grow hot"
意見,いけん,N,"opinion, view, idea"
やはり,やはり,N,"as I thought, absolutely"
漫画,まんが,N,"comic (book), cartoon"
ステレオ,ステレオ,N,stereo
医学,いがく,N,medical science
テキスト,テキスト,N,text; text book
折る,おる,V,"to snap, to break; to bend"
うかがう,うかがう,V,to ask
聞こえる,きこえる,V,"to be heard, to be audible"
僕,ぼく,N,I (used by men towards those of equal or lower status)
必ず,かならず,N,"surely, certainly"
壊す,こわす,V,"to break, to break down"
怒る,おこる,V,to get angry; to scold angrily
床屋,とこや,N,barber's (shop)
オートバイ,オートバイ,N,motorcycle (lit: auto-bi(ke))
運動,うんどうする,N,exercise
止む,やむ,V,"to cease, to stop"
もし,もし,N,if
表,おもて,N,surface; front; outside
大学生,だいがくせい,N,"college student, university student"
運転手,うんてんしゅ,N,driver (by occupation)
予習,よしゅう,N,preparation of lessons (for class)
心配,しんぱいする,N,"worry, concern"
別,べつ,N,"distinction, different"
非常に,ひじょうに,N,extremely; very
お宅,おたく,N,(someone else's) house; home -- polite word for 家 (いえ) --
柔らかい,やわらかい,N,"soft (in reference to texture), tender"
拾う,ひろう,V,"to pick up (something), to find"
気,き,N,"spirit, mood"
比べる,くらべる,V,to compare
ほとんど,ほとんど,N,"mostly, almost"
つもり,つもり,N,"intention, plan"
郊外,こうがい,N,"suburb, outskirts"
だめ,だめ,N,"useless, no good, hopeless"
売り場,うりば,N,place where things are sold
正月,しょうがつ,N,"New Year, New Year's Day"
規則,きそく,N,"rule, regulation"
うん,うん,N,"yes (informal), all right (ok)"
発音,はつおん,N,pronunciation
焼く,やく,V,"to bake, to grill"
屋上,おくじょう,N,rooftop
失礼,しつれい,N,"discourtesy, impoliteness; Excuse me"
ごみ,ごみ,N,"trash, garbage"
アフリカ,アフリカ,N,Africa
点,てん,N,"mark, score, grade; point, dot"
一生懸命,いっしょうけんめい,N,"very hard (as in ""to work hard""), with utmost effort"
今度,こんど,N,"now, this time, near future, one of these days, next time"
機会,きかい,N,"chance, opportunity"
建てる,たてる,V,to build
複雑,ふくざつ,N,"complexity, complication"
彼,かれ,N,"he, boyfriend"
いらっしゃる,いらっしゃる,N,"-- honorific expression for いく, くる, and いる --"
布団,ふとん,N,futon
大事,だいじ,N,"important, valuable, serious matter"
贈り物,おくりもの,N,a gift; a present
泥棒,どろぼう,N,thief; burglar
注意,ちゅうい,N,"caution, attention"
台風,たいふう,N,typhoon
日,ひ,N,"sun, sunshine, day"
通る,とおる,V,"to pass (by), to go through"
過ぎる,すぎる,V,"to exceed, to go beyond"
レポート,レポート,N,report
葉,は,N,leaf
必要,ひつよう,N,necessary
課長,かちょう,N,section manager
地震,じしん,N,earthquake
すると,すると,N,"and, then"
止める,やめる,V,"to end, to stop"
ガラス,ガラス,N,"glass, pane"
厳しい,きびしい,N,hard; rigorous; strict
エスカレーター,エスカレーター,N,escalator
人口,じんこう,N,population
月,つき,N,moon
絹,きぬ,N,silk
ちっとも,ちっとも,V,not at all (neg. verb)
深い,ふかい,N,"deep, profound"
壊れる,こわれる,V,"to be broken, to break"
揺れる,ゆれる,V,"to shake, to sway"
落る,おちる,V,"to fall, to drop"
できるだけ,できるだけ,N,"if at all possible, as much as possible"
悲しい,かなしい,N,"sad, sorrowful"
中学校,ちゅうがっこう,N,junior high school pupil
ガス,ガス,N,gas
祈る,いのる,V,to pray; to wish
盛ん,さかん,N,"prosperous, active, thriving"
アルバイト,アルバイト,N,part-time job
起こす,おこす,V,to wake (someone) up
致す,いたす,N,-- extra-modest expression for する --
噛む,かむ,V,"to bite, to chew"
赤ちゃん,あかちゃん,N,"baby, infant"
浅い,あさい,N,"shallow, superficial"
嘘,うそ,N,lie
小説,しょうせつ,N,novel
親,おや,N,a parent
それに,それに,N,moreover; besides
西洋,せいよう,N,"the West, Western countries"
思う,おもう,V,"to think, to feel"
パート (タイム),パート (タイム),N,part time (esp. female part time employees)
時代,じだい,N,"age, period, epoch, era"
申し上げる,もうしあげる,N,"(humble)to say, to tell"
出席,しゅっせきする,N,attendance
迎える,むかえる,V,to welcome; to meet; to greet
触る,さわる,V,"to touch, to feel"
建て,～だて,N,"~ storied, separate housing"
社長,しゃちょう,N,president of a company
動物園,どうぶつえん,N,zoo
