character,writing_level,traditional,examples
媒,3,媒,媒体 传媒 多媒体
每,1,每,每 每当 每逢
美,2,美,美 美好 美丽 美食 美术
迷,3,迷,歌迷 迷 球迷 迷人 迷信
民,2,民,公民 民间 民族 农民 人民
命,3,命,命运 生命 命令 救命 命
某,3,某,某
母,3,母,父母 母亲 字母 母 母鸡
木,1,木,木头 麻木 木板 木材 木匠
内,3,內,国内 内 内容 内心 内部
念,2,念,概念 观念 纪念 念 怀念
娘,3,娘,姑娘 新娘 娘
农,3,農,农村 农民 农业 农产品 农场
暖,3,暖,暖和 温暖 暖气 暖 保暖
拍,3,拍,拍 拍照 拍摄 球拍 拍板
牌,2,牌,金牌 牌子 银牌 名牌儿 牌
派,3,派,派 派出 派别 派遣 气派
判,3,判,判断 谈判 裁判 判 判处
胖,2,胖,胖 胖子 肥胖
配,3,配,分配 配 配合 配备 配套
批,3,批,批评 批准 批 大批 批发
皮,3,皮,皮 皮包 调皮 皮肤 皮鞋
啤,,啤,啤酒
品,3,品,商品 食品 作品 产品 品质
评,3,評,批评 评价 评估 评论 评
苹,2,蘋,苹果
破,3,破,打破 破 破坏 破产 突破
齐,3,齊,齐 整齐 齐全 一齐 齐心协力
奇,3,奇,好奇 奇怪 神奇 奇妙 传奇
器,3,器,机器 武器 充电器 器官 机器人
强,3,強,加强 坚强 强 强大 强调
桥,3,橋,桥 桥梁 立交桥 天桥
巧,3,巧,巧 技巧 巧克力 巧妙 凑巧
切,3,切,亲切 一切 密切 迫切 切
亲,3,親,父亲 母亲 亲 亲切 亲人
庆,3,慶,国庆 庆祝 庆典 庆贺 庆幸
区,2,區,地区 区 区别 市区 郊区
缺,3,缺,缺 缺点 缺少 缺乏 缺陷
裙,,裙,裙子
群,3,群,群 人群 群体 群众 成群结队
任,3,任,任 任何 任务 信任 责任
仍,3,仍,仍 仍然 仍旧
容,3,容,内容 容易 形容 好容易 好不容易
赛,3,賽,比赛 决赛 大奖赛 竞赛 半决赛
散,3,散,散步 分散 散 散文 解散
沙,3,沙,沙发 沙子 沙漠 风沙 沙龙
衫,,衫,衬衫
善,3,善,完善 改善 善良 善于 慈善
伤,3,傷,伤 伤心 受伤 伤害 悲伤
设,3,設,建设 设备 设计 设立 设施
社,2,社,旅行社 社会 社 社区 报社
深,2,深,深 深刻 深入 深厚 深处
神,3,神,精神 神话 神秘 神 神经
升,3,升,上升 升 毫升 升高 升级
胜,3,勝,胜 胜利 战胜 胜负 名胜
失,3,失,失去 消失 失败 失望 失业
石,3,石,石头 石油 宝石 化石 礁石
始,3,始,开始 始终 原始 创始人 自始至终
世,3,世,去世 世纪 世界 世界杯 全世界
式,3,式,方式 形式 正式 闭幕式 公式
似,3,似,类似 相似 似的 似乎 好似
势,3,勢,优势 趋势 形势 势力 强势
首,3,首,首都 首先 首 首次 首脑
输,2,輸,输 输入 运输 输出 传输
属,3,屬,家属 属 属于 亲属 非金属
术,3,術,技术 美术 武术 艺术 手术
束,3,束,结束 束 约束 拘束 束缚
双,3,雙,双 双方 双手 双打 举世无双
死,3,死,死 死亡 生死 死心 死心塌地
速,3,速,高速 高速公路 快速 速度 迅速
台,3,臺/台/颱/檯,电视台 电台 台 舞台 窗台
谈,2,談,谈 谈话 谈判 会谈 座谈会
汤,2,湯,汤 汤圆
糖,3,糖,糖 口香糖 砂糖 糖果 糖尿病
甜,3,甜,甜 酸甜苦辣 甜美 甜蜜 甜头
跳,3,跳,跳 跳高 跳舞 跳远 跳水
痛,2,痛,痛 痛苦 痛快 疼痛 悲痛
突,3,突,突出 突然 冲突 突破 突发
土,2,土,土 土地 土豆 本土 出土
团,3,團,代表团 团 团结 团体 集团
退,3,退,退 退出 退休 退票 辞退
望,2,望,希望 愿望 看望 失望 绝望
危,3,危,危害 危险 危机 乘人之危 危及
围,3,圍,范围 围 周围 围巾 包围
伟,3,偉,伟大 雄伟 宏伟
卫,3,衛,卫生 卫生间 保卫 卫星 防卫
握,3,握,把握 握手 握 掌握
屋,3,屋,房屋 屋子 屋 屋顶
武,3,武,武器 武术 核武器 武力 武装
舞,3,舞,跳舞 舞台 舞 舞蹈 歌舞
误,2,誤,错误 误会 失误 误解 误
希,3,希,希望
戏,3,戲,游戏 戏 戏剧 戏曲 游戏机
显,3,顯,明显 显得 显然 显示 显著
险,3,險,保险 风险 危险 险 化险为夷
线,3,線,路线 线 光线 线索 直线
乡,3,鄉,故乡 家乡 乡 乡村 城乡
香,2,香,香 香蕉 香肠 口香糖 香料
箱,,箱,邮箱 冰箱 箱 箱子 信箱
象,2,象,对象 现象 形象 印象 想象
消,3,消,取消 消费 消失 消息 消化
效,3,效,效果 有效 效率 成效 无效
血,2,血,血 血管 血液 出血 高血压
形,3,形,形成 形式 形象 形状 形容
幸,3,幸/倖,幸福 幸运 不幸 庆幸 荣幸
性,3,性,个性 性 积极性 性别 性格
修,3,修,修 修改 维修 修理 装修
需,2,需,需求 需要 必需 急需 内需
续,3,續,持续 继续 连续 连续剧 手续
宣,3,宣,宣布 宣传 宣称 宣读 宣告
训,3,訓,训练 教训 培训 培训班 训
压,2,壓,压 压力 压迫 高血压 高压
烟,3,煙,烟 抽烟 吸烟 烟花 戒烟
演,3,演,表演 导演 演 演唱 演唱会
验,2,驗,经验 考验 实验 实验室 试验
羊,2,羊,羊 亡羊补牢
义,3,義,意义 含义 义务 正义 名义
艺,3,藝,艺术 工艺 工艺品 文艺 文艺界
议,3,議,会议 建议 议论 协议 协议书
易,3,易,交易 容易 轻易 不易 贸易
营,3,營,经营 营养 营业 私营 夏令营
赢,,贏,赢 赢得 双赢 赢家
泳,3,泳,游泳 游泳池
优,3,優,优点 优势 优良 优美 优秀
邮,3,郵,电子邮件 邮件 邮票 邮箱 邮局
预,3,預,预报 预防 预计 预习 预测
员,3,員,成员 队员 公务员 会员 人员
约,2,約,大约 节约 约 约会 签约
杂,3,雜,复杂 杂志 杂 错综复杂 杂技
造,3,造,创造 改造 造 造成 制造
责,3,責,负责 责任 负责人 指责 职责
增,3,增,增加 增长 增 增产 增大
展,3,展,发展 进展 开展 展开 扩展
张,2,張,紧张 张 主张 东张西望 慌张
章,3,章,文章 章 出口成章 顺理成章 违章
争,3,爭,争 争取 战争 争论 竞争
整,3,整,调整 完整 整 整个 整理
证,3,證,保证 身份证 证 证件 证据
支,2,支,支 支持 支付 支出 支配
汁,3,汁,果汁 橙汁 原汁原味 汁
值,3,值,价值 值 值得 值班 不值
职,3,職,职工 职业 辞职 职能 职位
止,2,止,防止 停止 禁止 阻止 不止
指,3,指,手指 指 指出 指导 指挥
至,3,至,至今 至少 甚至 至 不至于
志,2,誌/志,杂志 志愿者 志愿 标志 意志
制,3,制/製,制定 制度 制造 制作 复制
终,3,終,始终 终于 终点 终身 终止
种,2,種,各种 种 种子 多种 种类
众,3,眾,观众 听众 大众 群众 众多
猪,2,豬,猪
注,3,注/註,关注 注意 注册 注射 注视
祝,3,祝,庆祝 祝 祝福 祝贺 祝愿
抓,2,抓,抓 抓住 抓紧
专,3,專,专家 专门 专题 专业 专心
转,2,轉,转 转变 转动 转告 转身
状,3,狀,形状 状况 状态 现状 症状
追,3,追,追 追求 追究 追悼会 追赶
资,3,資,工资 资格 资金 投资 资料
总,2,總,总 总结 总是 总共 总理
足,2,足,满足 足够 足球 不足 充足
族,3,族,民族 中华民族 族 上班族 贵族
