character,writing_level,traditional,examples
汇,,彙/匯,词汇 汇 汇报 汇率 外汇
伙,3,夥/伙,伙 伙伴 小伙子 大伙儿 好家伙
货,3,貨,百货 货 售货员 货币 货车
获,3,獲/穫,获 获得 获奖 获取 收获
圾,,圾,垃圾
激,,激,刺激 激动 激烈 激情 感激
即,3,即,即将 立即 即使 当即 即
季,3,季,春季 冬季 季 季度 季节
既,3,既,既 既然 一如既往
寄,2,寄,寄 寄托
减,3,減,减 减肥 减少 减轻 减免
渐,,漸,渐渐 逐渐 循序渐进
江,2,江,江
奖,3,獎,抽奖 获奖 奖 奖金 奖学金
降,,降,降 降低 降价 降落 降温
阶,,階,阶段 台阶 阶层 阶级 阶梯
巾,3,巾,毛巾 围巾
劲,,勁,使劲 有劲儿 费劲 较劲 劲头
禁,3,禁,禁止 不禁 禁不住 禁忌 禁区
惊,3,驚,吃惊 震惊 惊人 惊喜 触目惊心
竟,3,竟,竟然 究竟 毕竟 竟 竟敢
镜,3,鏡,镜头 镜子 眼镜 望远镜
究,2,究,讲究 究竟 研究 研究生 研究所
居,3,居,居民 居住 居然 邻居 定居
局,3,局/侷,局 邮局 局面 局长 布局
巨,3,巨,巨大 艰巨 巨额 巨人 巨头
距,3,距,距离 差距 焦距 距
聚,,聚,聚 聚会 欢聚 汇聚 聚集
卷,,卷/捲,卷 试卷 卷入 卷子 问卷
均,3,均,平均 均衡 均匀 人均
棵,3,棵,棵
宽,3,寬,宽 宽广 宽度 宽阔 宽敞
矿,,礦,矿泉水 矿 采矿 矿藏 煤矿
扩,,擴,扩大 扩展 扩 扩建 扩散
括,3,括,包括 概括 括号 括弧
垃,,垃,垃圾
辣,3,辣,辣 酸甜苦辣 火辣辣 辣椒 麻辣
郎,,郎,新郎
雷,3,雷,打雷 雷同
泪,3,淚,泪 泪水 眼泪 流泪
厘,,釐,厘米
俩,2,倆,俩
炼,3,鍊/煉,锻炼 炼 提炼
良,3,良,良好 善良 优良 不良 改良
粮,,糧,粮食
疗,3,療,疗养 医疗 治疗 疗法 疗效
聊,,聊,无聊 聊 聊天儿
料,3,料,材料 燃料 塑料 塑料袋 原料
列,,列,列 列车 列入 列为 排列
林,3,林,森林 树林 园林 丛林 穆斯林
临,,臨,光临 临时 面临 降临 居高临下
陆,3,陸,大陆 陆地 陆续 陆军 登陆
律,,律,法律 规律 纪律 律师 一律
虑,3,慮,考虑 顾虑 焦虑 无忧无虑 疑虑
率,,率,汇率 率先 效率 率领 表率
轮,,輪,轮 轮船 轮椅 轮子 车轮
络,,絡,网络 联络 络绎不绝 脉络
码,3,碼,号码 密码 数码 二维码 码头
帽,,帽,帽子
梦,3,夢,梦 梦见 梦想 做梦 梦幻
秘,3,秘/祕,秘密 秘书 神秘 秘书长 奥秘
密,3,密,保密 紧密 秘密 密 密码
免,3,免,避免 免费 难免 不免 免得
描,3,描,描述 描写 描绘 扫描 素描
摸,3,摸,摸 触摸 抚摸 摸索
模,3,模,大规模 规模 模特儿 模型 模范
默,,默,沉默 默默 幽默 默读 默默无闻
闹,3,鬧,闹 闹钟 热闹 胡闹 看热闹
宁,3,寧,宁静 安宁 宁可 宁愿
浓,,濃,浓 浓厚 浓缩 浓郁 浓重
盘,2,盤,光盘 盘 盘子 键盘 磁盘
培,,培,培训 培训班 培养 培育 栽培
婆,,婆,老婆 外婆 巫婆
迫,,迫,被迫 迫切 强迫 压迫 逼迫
妻,2,妻,夫妻 妻子
企,,企,企业 企图 外企
浅,,淺,浅 搁浅
穷,,窮,穷 穷人 层出不穷 贫穷 无穷
趋,,趨,趋势 趋于 日趋
趣,3,趣,感兴趣 乐趣 兴趣 有趣 风趣
圈,3,圈,圈 圈套 圈子 演艺圈
权,3,權,权利 权 权力 人权 政权
泉,,泉,矿泉水 泉 喷泉 温泉 源泉
却,,卻,却 却是 了却 退却
燃,,燃,燃料 燃烧 点燃 燃放 燃气
弱,,弱,弱 薄弱 脆弱 减弱 软弱
伞,2,傘,伞 跳伞
扫,3,掃,打扫 扫 扫除 扫描 扫墓
森,3,森,森林
晒,3,曬,晒 晒太阳
闪,3,閃,闪 闪电 闪烁
赏,3,賞,赏 赞赏 欣赏 观赏 鉴赏
尚,3,尚,高尚 崇尚 风尚 和尚 尚
烧,2,燒,发烧 燃烧 烧 焚烧 烧毁
申,3,申,申请 重申 申办 申报 申领
甚,,甚,甚至 甚至于
诗,3,詩,诗 诗人 诗歌
施,,施,措施 设施 实施 施工 施加
湿,,濕,潮湿 湿 湿度 湿润
史,3,史,历史 史无前例
士,3,士,巴士 护士 男士 女士 士兵
释,3,釋,解释 爱不释手 释放
守,3,守,保守 守 遵守 防守 坚守
授,3,授,教授 传授 函授 授权 授予
售,3,售,出售 售货员 销售 兜售 零售
叔,3,叔,叔叔
殊,,殊,特殊 悬殊
暑,3,暑,暑假 避暑 暑期
述,,述,描述 表述 阐述 陈述 讲述
刷,,刷,刷 刷牙 刷子 牙刷 印刷
帅,3,帥,帅 帅哥
松,,鬆/松,放松 轻松 松 松树 宽松
俗,,俗,风俗 民俗 俗 俗话 俗话说
塑,,塑,塑料 塑料袋 雕塑 塑造
酸,,酸,酸 酸奶 酸甜苦辣 心酸 辛酸
孙,3,孫,孙女 孙子 子孙
缩,,縮,缩短 缩小 节衣缩食 紧缩 浓缩
躺,3,躺,躺
梯,,梯,电梯 楼梯 滑梯 阶梯 梯子
替,,替,代替 替 替代 交替 接替
填,3,填,填 填空 填补 填充 填写
挑,3,挑,挑 挑选 挑战 挑剔 挑起
贴,,貼,贴 补贴 津贴 体贴 贴近
童,3,童,儿童 童话 童年
统,,統,传统 统计 统一 系统 总统
投,,投,投 投入 投诉 投资 投票
透,,透,透 透明 透露 渗透 透彻
途,,途,长途 前途 途中 用途 途径
脱,,脫,摆脱 脱 脱离 解脱 脱节
袜,,襪,袜子
弯,,彎,弯 转弯 弯曲 拐弯 急转弯
微,,微,微笑 微信 稍微 微博 微波炉
维,,維,维持 维护 维修 二维码 思维
尾,,尾,尾巴 结尾 尾气 尾声 追尾
未,2,未,未必 未来 从未 前所未有 尚未
谓,3,謂,无所谓 可谓 所谓
稳,,穩,平稳 稳 稳定 安稳 沉稳
无,2,無,无 无法 无聊 无论 无数
吸,3,吸,呼吸 吸 吸管 吸收 吸烟
席,3,席,出席 主席 首席 缺席 席
细,,細,细 细节 细致 详细 仔细
鲜,3,鮮,海鲜 鲜 鲜花 鲜明 新鲜
咸,,鹹,咸
县,3,縣,县
限,,限,期限 无限 限制 有限 极限
项,3,項,项 项目 奖项 款项 强项
销,,銷,促销 推销 销售 撤销 报销
型,,型,大型 典型 类型 模型 小型
醒,3,醒,清醒 提醒 醒 惊醒 觉醒
兄,2,兄,兄弟
胸,,胸,胸部 心胸 胸膛 胸有成竹
秀,3,秀,优秀 秀丽 秀美
序,,序,程序 顺序 工序 序 序幕
寻,3,尋,寻找 寻求 不同寻常 耐人寻味 搜寻
迅,,迅,迅速
牙,2,牙,刷牙 牙 牙刷 西班牙语 牙齿
亚,3,亞,亚运会 亚军 不亚于
呀,,呀,呀 哎呀
延,,延,延长 延期 延续 延伸 蔓延
严,3,嚴,严 严格 严重 严厉 严肃
研,2,研,研究 研究生 研制 研究所 调研
盐,3,鹽,盐
扬,,揚,表扬 得意扬扬 发扬 发扬光大 沸沸扬扬
腰,3,腰,腰
摇,,搖,动摇 摇 摇头 摇摆 摇滚
叶,3,葉,茶叶 树叶 叶子
依,3,依,依靠 依然 依法 依旧 依据
姨,,姨,阿姨 姨
移,3,移,移 移动 移民 转移 迁移
遗,3,遺,遗产 遗传 遗憾 后遗症 遗留
疑,,疑,怀疑 疑问 无疑 半信半疑 迟疑
译,3,譯,翻译 译
益,3,益,利益 收益 得益于 公益 公益性
引,3,引,吸引 引 引导 引进 引起
映,3,映,反映 放映 上映 映
勇,3,勇,英勇 勇敢 勇气 奋勇 见义勇为
幼,,幼,幼儿园 幼稚
余,3,餘/余,其余 业余 多余 剩余 余
与,2,與,参与 与 与此同时 与否 与其
玉,2,玉,玉 玉米
遇,,遇,待遇 机遇 遇 遇到 遇见
圆,3,圓,圆 圆满 圆珠笔 汤圆 团圆
源,3,源,电源 来源 资源 发源地 根源
阅,3,閱,阅读 阅览室 阅历
载,3,載,记载 下载 承载 载体 转载
赞,3,讚/贊,称赞 赞成 赞赏 赞助 赞不绝口
则,,則,否则 规则 原则 以身作则 则
择,,擇,选择
战,,戰,挑战 战斗 战胜 战士 战争
丈,3,丈,丈夫
招,3,招,招呼 招生 招手 招 招聘
召,3,召,召开 号召 召集
折,3,折/摺,打折 折 波折 存折 挫折
针,,針,打针 方针 针 针对 针锋相对
阵,,陣,阵 一阵 阵容 阵营
征,,徵/征,特征 征服 征求 象征 长征
政,3,政,政府 政治 政策 政党 政权
之,2,之,分之 之后 之间 之前 之一
植,,植,植物 种植 移植
址,3,址,地址 网址 遗址 住址
质,,質,品质 性质 质量 物质 本质
治,3,治,政治 治 治疗 防治 治安
致,3,致/緻,导致 细致 一致 大致 此致
智,3,智,智力 智能 理智 智慧 机智
置,,置,安置 布置 设置 位置 装置
逐,,逐,逐步 逐渐 角逐 驱逐 逐年
著,3,著,显著 著名 著作 名著 专著
综,3,綜,综合 错综复杂 综上所述
阻,,阻,阻止 阻碍 劝阻 阻挡 阻拦
