character,writing_level,traditional,examples
阿,,阿,阿姨 阿拉伯语
矮,3,矮,矮 矮小
案,,案,答案 方案 图案 档案 案件
暗,3,暗,暗 暗示 黑暗 暗地里 暗杀
巴,2,巴,巴士 大巴 尾巴 嘴巴 巴不得
摆,3,擺,摆 摆动 摆脱 摆放 摆平
败,3,敗,败 打败 失败 腐败
伴,3,伴,伙伴 伴 伴侣 伴随 伴奏
薄,,薄,薄 薄弱 单薄
宝,2,寶,宝 宝宝 宝贝 宝贵 宝石
抱,2,抱,抱 抱怨 拥抱 抱歉 抱负
贝,2,貝,宝贝 贝壳
倍,3,倍,倍
笨,3,笨,笨 笨蛋 笨重
毕,3,畢,毕业 毕业生 毕竟 完毕
闭,3,閉,倒闭 封闭 关闭 闭幕 闭幕式
避,,避,避 避免 回避 避难 避暑
编,3,編,编 编辑 编制 编号 编剧
辩,,辯,辩论 辩 辩护 辩解 答辩
冰,2,冰,冰 冰箱 冰雪 冰棍儿 冰山
兵,2,兵,兵 士兵 官兵
擦,,擦,擦 摩擦
财,3,財,财产 财富 理财 财经 财力
操,,操,操场 操作 体操 操纵 操控
测,3,測,测 测量 测试 检测 预测
抄,3,抄,抄 抄写 抄袭
潮,,潮,潮 潮流 潮湿 高潮 热潮
彻,,徹,彻底 彻夜 贯彻 透彻
沉,3,沉,沉 沉默 沉重 沉甸甸 沉淀
诚,3,誠,诚实 诚信 真诚 诚恳 诚心诚意
承,3,承,承担 承认 承受 承办 继承
迟,3,遲,迟到 推迟 迟 迟迟 迟疑
尺,3,尺,尺 尺寸 尺子 尺度
冲,3,衝/沖,冲 冲动 冲突 冲击 冲刺
虫,2,蟲,虫子 害虫 昆虫
抽,3,抽,抽 抽奖 抽烟 抽签 抽屉
窗,3,窗,窗户 窗台 窗子 窗帘 窗口
纯,,純,纯 纯净水 单纯 纯粹 纯洁
刺,,刺,刺 刺激 冲刺 刺耳 刺骨
粗,3,粗,粗 粗心 粗暴 粗糙 粗鲁
促,,促,促进 促使 促销 促成 催促
寸,3,寸,尺寸 寸 分寸
措,,措,措施 筹措 措手不及 惊慌失措 举措
袋,3,袋,袋 口袋 脑袋 塑料袋 睡袋
戴,,戴,戴
担,3,擔,承担 担保 担任 担心 负担
淡,3,淡,淡 淡化 淡季 冷淡 平淡
登,,登,登 登记 登录 登山 登机
敌,3,敵,敌人 无敌
递,3,遞,快递 传递 递 递给 递交
顶,3,頂,顶 顶多 顶级 顶尖 封顶
斗,3,鬥/斗,奋斗 战斗 斗争 搏斗 斗
豆,3,豆,豆腐 豆制品 土豆 豆浆 豆子
独,3,獨,单独 独立 独特 独自 孤独
堵,3,堵,堵 堵车 堵塞
肚,3,肚,肚子
锻,3,鍛,锻炼
恶,3,噁/惡,恶心 罪恶 丑恶 恶 恶化
耳,2,耳,耳机 耳朵 刺耳 耳光 耳目一新
翻,3,翻,翻 翻译 翻番 翻来覆去 翻天覆地
肥,3,肥,肥 减肥 肥料 肥胖 肥沃
纷,,紛,纷纷 纠纷 缤纷
奋,3,奮,奋斗 兴奋 勤奋 奋力 奋勇
符,3,符,符号 符合
府,3,府,政府 首府
腐,3,腐,豆腐 腐败 腐化 腐烂 腐蚀
妇,2,婦,夫妇 妇女 寡妇 媳妇 孕妇
附,3,附,附近 附件 附 附带 附和
盖,3,蓋,盖 覆盖 盖子 涵盖 膝盖
隔,,隔,隔 隔开 隔壁 隔阂 隔离
供,,供,供应 提供 供给 供 供不应求
构,3,構,构成 构造 机构 结构 构建
购,3,購,购买 购物 采购 收购 并购
骨,3,骨,骨头 刺骨 骨干 骨气 骨折
固,,固,固定 坚固 巩固 根深蒂固 固然
瓜,2,瓜,瓜 黄瓜 西瓜 瓜分 瓜子
官,3,官,法官 官 官方 器官 外交官
逛,,逛,逛
归,3,歸,归 改邪归正 归根到底 归还 归结
裹,,裹,包裹 裹
含,3,含,包含 含 含量 含义 含有
寒,3,寒,寒假 寒冷
航,3,航,航班 航空 宇航员 导航 航海
毫,,毫,毫米 毫升 毫不 毫不犹豫 毫无
厚,3,厚,厚 深厚 醇厚 得天独厚 敦厚
乎,,乎,不在乎 几乎 似乎 在乎 不亦乐乎
呼,3,呼,呼吸 招呼 称呼 打招呼 呼风唤雨
户,3,戶,窗户 户 客户 用户 户外
怀,3,懷,怀念 怀疑 关怀 怀抱 怀旧
缓,,緩,缓解 缓 缓和 缓缓 缓慢
挥,3,揮,发挥 指挥 挥
