character,writing_level,traditional,examples
咳,,咳,咳 咳嗽 止咳
肯,,肯,肯定 肯 不肯
控,,控,控制 操控 监控 控告 失控
库,,庫,库 水库 仓库 宝库 数据库
款,3,款,存款 贷款 罚款 汇款 捐款
狂,,狂,疯狂 狂 猖狂 狂欢 狂欢节
亏,3,虧,亏 吃亏 多亏 亏本 亏损
览,,覽,博览会 阅览室 展览 浏览 浏览器
烂,,爛,烂 灿烂 腐烂
朗,,朗,朗读 晴朗 开朗 朗诵 明朗
劳,2,勞,劳动 操劳 多劳多得 功劳 劳动力
梨,,梨,梨
璃,,璃,玻璃
厉,,厲,厉害 严厉
励,,勵,鼓励 奖励 激励 励志
怜,,憐,可怜 怜惜
帘,,簾,窗帘 帘子
恋,,戀,恋爱 恋恋不舍 留恋 迷恋 失恋
邻,,鄰,邻居 邻国
铃,,鈴,铃 铃声 电铃 杠铃 门铃
龄,,齡,年龄 高龄
令,2,令,令 命令 口令 司令 下令
漏,,漏,漏 漏洞 泄漏
逻,,邏,逻辑 巡逻
骂,3,罵,骂
漫,,漫,浪漫 漫长 漫画 漫 漫游
矛,,矛,矛盾 矛头 自相矛盾
贸,3,貿,贸易 经贸 外贸
貌,,貌,礼貌 面貌 风貌 外貌
煤,,煤,煤 煤气 煤矿 煤炭
眠,,眠,睡眠 安眠药 催眠 失眠 休眠
秒,,秒,秒 争分夺秒
敏,,敏,过敏 敏感 灵敏 敏捷 敏锐
摩,,摩,按摩 摩擦 摩托 揣摩 观摩
漠,,漠,沙漠 冷漠 漠然
幕,,幕,闭幕 闭幕式 开幕 开幕式 屏幕
奈,,奈,无奈 无可奈何
耐,,耐,不耐烦 耐心 耐 耐人寻味 耐性
偶,3,偶,偶尔 偶然 偶像 木偶 配偶
陪,3,陪,陪 陪同 陪伴 陪葬
赔,,賠,赔 赔偿 赔钱 索赔
喷,,噴,喷 喷泉
盆,3,盆,脸盆 盆
披,,披,披 披露
脾,,脾,脾气 发脾气 脾
匹,3,匹,匹 匹配
骗,3,騙,骗 骗子 骗人 欺骗 受骗
拼,3,拼,拼 拼搏 拼命
频,,頻,频道 频繁 视频 频率 频频
凭,,憑,凭 凭借 凭着 凭证 文凭
泼,,潑,活泼 泼 泼冷水
葡,,葡,葡萄 葡萄酒
启,,啟,启动 启发 启事 开启 启迪
弃,3,棄,放弃 丢弃 抛弃 嫌弃 遗弃
签,,簽/籤,签 签订 签名 签约 签证
欠,2,欠,欠 欠缺 欠条 拖欠
枪,,槍,枪 开枪 枪毙 手枪
抢,,搶,抢 抢救 抢夺 抢劫 抢眼
悄,,悄,悄悄
敲,,敲,敲 敲门 敲边鼓 敲诈 推敲
瞧,3,瞧,瞧 瞧不起
琴,,琴,钢琴 琴 小提琴
勤,,勤,勤奋 后勤 勤工俭学 勤快 勤劳
曲,3,曲,歌曲 弯曲 戏曲 乐曲 扭曲
劝,3,勸,劝 劝告 劝说 劝阻
染,,染,染 污染 传染 传染病 感染
扰,3,擾,打扰 干扰 困扰 扰乱 骚扰
绕,,繞,绕 围绕 环绕 绕行
忍,3,忍,忍 忍不住 忍受 残忍 忍饥挨饿
扔,2,扔,扔
荣,,榮,繁荣 光荣 荣获 荣幸 荣誉
绒,,絨,羽绒服
软,,軟,软 软件 柔软 软弱 软实力
润,,潤,利润 红润 润 湿润 滋润
洒,,灑,洒 潇洒
杀,3,殺,杀 杀毒 自杀 暗杀 杀害
傻,3,傻,傻 傻瓜
扇,,扇,扇 扇子
稍,,稍,稍 稍微 稍后 稍候 稍稍
蛇,,蛇,蛇 画蛇添足
舍,3,捨/舍,舍不得 舍得 宿舍 恋恋不舍 依依不舍
射,,射,发射 射 射击 注射 辐射
摄,,攝,拍摄 摄像 摄像机 摄影 摄影师
伸,,伸,伸 延伸 伸手 伸缩 伸张
剩,,剩,剩 剩下 过剩 剩余
拾,,拾,拾 收拾
驶,,駛,驾驶 行驶
饰,,飾,装饰 服饰 首饰 掩饰
柿,,柿,西红柿 柿子
寿,3,壽,长寿 寿司 寿命
瘦,3,瘦,瘦
蔬,,蔬,蔬菜
鼠,,鼠,鼠 鼠标
摔,,摔,摔 摔倒 摔跤
硕,,碩,硕士 丰硕 硕果
私,3,私,私人 隐私 走私 大公无私 私房钱
搜,,搜,搜 搜索 搜查 搜集 搜救
肃,,肅,严肃
宿,3,宿,宿舍 风餐露宿 归宿 食宿 住宿
碎,,碎,碎 粉碎 破碎
损,,損,损害 损失 亏损 磨损 损
索,,索,搜索 线索 探索 不假思索 导火索
锁,,鎖,锁 封锁 拉锁 连锁 连锁店
抬,,抬,抬 抬头
坦,,坦,平坦 坦白 坦诚 坦克 坦然
逃,,逃,逃 逃跑 逃走 逃避 逃生
桃,,桃,桃 桃花 桃树 核桃
萄,,萄,葡萄 葡萄酒
厅,,廳,餐厅 大厅 客厅 厅 舞厅
偷,,偷,偷 偷偷 小偷儿 偷看 偷窥
吐,,吐,吐 呕吐
兔,,兔,兔 守株待兔
托,3,托/託,摩托 委托 托 拜托 衬托
违,,違,违法 违反 违规 久违 违背
唯,,唯,唯一 唯 唯独
委,,委,委托 评委 委屈 委婉 委员
胃,3,胃,胃 胃口
慰,,慰,安慰 慰问 慰劳 欣慰
卧,,臥,卧室 卧铺 卧
污,,污,污染 污水 贪污 污秽
夕,3,夕,除夕 前夕 朝夕相处
析,3,析,分析 解析
悉,3,悉,熟悉 获悉 据悉
惜,3,惜,可惜 珍惜 爱惜 不惜 怜惜
吓,3,嚇,吓 恐吓 吓唬 吓人
闲,3,閒,闲 休闲 说闲话 悠闲
献,,獻,献 奉献 贡献 捐献 文献
详,,詳,详细 耳熟能详 详尽
享,,享,分享 共享 享受 享 享有
歇,,歇,歇
协,,協,协议 协议书 协会 协商 协调
斜,,斜,斜 倾斜
辛,3,辛,辛苦 艰辛 辛勤 辛酸
欣,,欣,欣赏 欣慰 欣喜 欣欣向荣
雄,3,雄,雄伟 英雄 雄厚
熊,,熊,大熊猫 熊
虚,,虛,虚心 谦虚 空虚 弄虚作假 虚
询,,詢,查询 询问 咨询
押,,押,押金 抵押 扣押 押
鸭,,鴨,烤鸭 鸭子
厌,,厭,讨厌 厌烦 厌倦
艳,,艷,鲜艳 艳丽
央,3,央,中央
邀,,邀,邀请 特邀 邀 应邀
咬,3,咬,咬
乙,2,乙,乙
忆,,憶,回忆 记忆 回忆录 记忆犹新
谊,3,誼,友谊 情谊
饮,2,飲,餐饮 饮料 饮食 饮水 饮用水
硬,,硬,硬 硬件 过硬 坚硬 强硬
拥,,擁,拥抱 拥有 簇拥 拥护 拥挤
幽,,幽,幽默
尤,3,尤,尤其 尤为
犹,,猶,犹豫 毫不犹豫 记忆犹新 犹如 犹豫不决
羽,,羽,羽毛球 羽绒服
域,,域,区域 地域 海域 领域 流域
豫,,豫,犹豫 毫不犹豫 犹豫不决
怨,,怨,抱怨 怨 恩怨 埋怨 怨恨
灾,3,災,火灾 救灾 受灾 水灾 灾
仔,,仔,牛仔裤 仔细
暂,3,暫/蹔,暂时 暂停 短暂 暂
糟,,糟,糟 糟糕 乱七八糟
赠,,贈,赠 赠送 捐赠
摘,,摘,摘
涨,,漲,上涨 涨 涨价 高涨 水涨船高
掌,3,掌,鼓掌 掌握 掌声 手掌 掌管
珍,,珍,珍贵 珍惜 珍珠 袖珍 珍藏
诊,,診,门诊 诊断 会诊 急诊 就诊
振,,振,振动 振奋 振兴 振作
震,,震,地震 震惊 震 震动 震撼
挣,,掙,挣 挣钱 挣扎
织,3,織,组织 织 纺织
执,,執,执行 固执 争执 执法 执意
珠,,珠,珍珠 圆珠笔 珠宝
竹,3,竹,竹子 爆竹 胸有成竹 竹竿
筑,,築,建筑 建筑师 建筑物 筑
撞,,撞,撞 冲撞 碰撞 撞击
紫,,紫,紫
醉,3,醉,醉 麻醉 如醉如痴 陶醉
尊,,尊,尊敬 尊重 自尊 自尊心 尊贵
遵,,遵,遵守 遵循 遵照
