character,writing_level,traditional,examples
碍,,礙,阻碍 障碍 碍事 妨碍
岸,,岸,岸 岸上 两岸 海岸 沿岸
拔,,拔,拔 选拔 海拔 提拔 一毛不拔
拜,,拜,拜访 礼拜 崇拜 拜会 拜见
版,3,版,版 出版 电子版 正版 盗版
扮,3,扮,扮演 打扮 扮 装扮
棒,3,棒,棒 棒球
悲,3,悲,悲剧 悲伤 悲惨 悲哀 悲观
辈,,輩,辈 一辈子 前辈 长辈
鼻,3,鼻,鼻子 鼻涕
彼,,彼,彼此 此起彼伏
壁,,壁,隔壁 墙壁 壁画 戈壁
宾,3,賓,宾馆 嘉宾 贵宾 来宾
饼,3,餅,饼 饼干 月饼
玻,,玻,玻璃
博,3,博,博客 博览会 博士 博物馆 微博
猜,3,猜,猜 猜测 猜谜 猜想
裁,,裁,裁判 总裁 裁 裁定 裁决
册,3,冊,册 注册 画册 手册
叉,3,叉,叉 叉子 交叉
插,,插,插 插手 插图 插嘴
拆,,拆,拆 拆除 拆迁
柴,,柴,火柴
肠,,腸,肠 香肠 心肠
尝,3,嚐/嘗,尝 尝试 品尝
偿,,償,补偿 赔偿 偿还 得不偿失 如愿以偿
倡,,倡,倡导 提倡 倡议
乘,,乘,乘 乘车 乘客 乘坐 乘人之危
池,,池,池子 电池 游泳池 池塘
愁,3,愁,愁 愁眉苦脸 发愁 犯愁 忧愁
丑,3,醜/丑,丑 丑恶 丑陋 丑闻 出丑
臭,3,臭,臭
厨,,廚,厨房 厨师
触,,觸,接触 触动 触犯 触觉 触摸
闯,3,闖,闯
辞,,辭,辞典 辞职 不辞而别 辞 辞呈
聪,3,聰,聪明
脆,,脆,脆 干脆 脆弱 清脆
呆,2,呆/獃,呆 痴呆 目瞪口呆
贷,,貸,贷款 信贷
胆,3,膽,大胆 胆 胆小 胆怯 胆子
旦,2,旦,一旦 元旦
弹,,彈,弹 子弹 炸弹 导弹 动弹
挡,3,擋,挡 抵挡 阻挡
德,3,德,道德 德 美德 品德
丢,2,丟,丢 丢掉 丢脸 丢弃 丢人
冻,3,凍,冻 冻结 冷冻
洞,,洞,洞 漏洞
毒,,毒,病毒 毒 杀毒 消毒 有毒
堆,3,堆,堆 堆砌
吨,3,噸,吨
盾,,盾,矛盾 后盾 自相矛盾
朵,3,朵,朵 耳朵
躲,,躲,躲 躲避 躲藏
尔,,爾,偶尔 高尔夫球
乏,,乏,缺乏
罚,,罰,处罚 罚 罚款 惩罚
繁,,繁,繁荣 频繁 繁殖 繁华 繁忙
返,,返,返回 重返 返还 往返
泛,,泛,广泛 泛滥 宽泛
仿,,仿/彷,模仿 仿佛 仿 仿制 效仿
疯,3,瘋,疯 疯狂 疯子
肤,3,膚,皮肤 肌肤
扶,,扶,扶 扶持
幅,,幅,幅 幅度 大幅度 篇幅
辅,3,輔,辅助 辅导 相辅相成
傅,,傅,师傅
纲,3,綱,大纲 纲领 纲要
钢,3,鋼,钢笔 钢琴 钢
糕,,糕,蛋糕 糟糕
搞,2,搞,搞 搞好 搞鬼 搞笑
革,,革,改革 革新 变革 改革开放 革命
沟,,溝,沟 沟通
估,3,估,估计 评估 低估 估算
鼓,,鼓,鼓 鼓励 鼓掌 鼓动 鼓舞
冠,,冠,冠军 夺冠
鬼,3,鬼,鬼 酒鬼 搞鬼 魔鬼
柜,3,櫃,柜子 书柜 柜台 专柜
滚,3,滾,滚 滚动 连滚带爬 摇滚
锅,,鍋,电饭锅 锅 火锅 一锅粥
汗,3,汗,出汗 汗 汗水
豪,,豪,自豪 富豪 豪华
核,,核,考核 核心 核 核电站 核对
盒,3,盒,盒 盒饭 盒子
贺,3,賀,贺卡 祝贺 贺电 贺信 庆贺
恨,3,恨,恨 仇恨 恨不得 悔恨 怨恨
猴,,猴,猴
胡,3,胡/鬍,胡同儿 胡子 胡闹 胡说 胡思乱想
糊,,糊/餬,模糊 含糊 糊 糊涂 一塌糊涂
虎,2,虎,虎 马虎
滑,,滑,滑 光滑 滑冰 滑稽 滑梯
慌,,慌,慌 慌忙 慌乱 慌张 惊慌
灰,,灰,灰色 灰 灰尘 灰心
恢,,恢,恢复
悔,,悔,后悔 悔恨
惠,,惠,实惠 优惠 恩惠
击,,擊,打击 射击 冲击 攻击 点击率
肌,,肌,肌肉 肌肤
辑,,輯,编辑 逻辑 专辑
籍,,籍,国籍 书籍 外籍 祖籍
挤,3,擠,挤 挤压 拥挤
夹,3,夾,夹
甲,2,甲,甲 指甲
驾,,駕,驾驶 驾照 驾 驾车 驾驭
肩,,肩,肩 肩膀 肩负
艰,3,艱,艰苦 艰难 艰巨 艰苦奋斗 艰险
剪,,剪,剪 剪刀 剪子
键,,鍵,关键 键 键盘 按键
郊,,郊,郊区 郊外 郊游
胶,,膠,胶带 胶水 胶囊 胶片 橡胶
戒,,戒,戒 戒备 戒烟 戒指
届,,屆,届 届时 历届
竞,,競,竞赛 竞争 竞技 竞相 竞选
敬,3,敬,尊敬 敬 敬爱 敬而远之 敬酒
拒,,拒,拒绝 抗拒
俱,,俱,俱乐部 面面俱到 一应俱全 与日俱增 与时俱进
军,3,軍,冠军 军人 亚军 海军 将军
烤,,烤,烤肉 烤鸭 烤 烧烤
颗,,顆,颗
