character,writing_level,traditional,examples
酗,,酗,酗酒
絮,,絮,絮叨
婿,,婿,女婿
蓄,,蓄,储蓄 含蓄 积蓄
喧,,喧,喧哗 喧闹
玄,,玄,玄 玄机
炫,,炫,炫耀
靴,,靴,靴子
穴,,穴,穴位
勋,,勛,勋章
熏,,熏/薰,熏 熏陶
旬,,旬,上旬 下旬 中旬
巡,,巡,巡逻
汛,,汛,防汛
驯,,馴,驯
逊,,遜,谦逊 逊色
丫,,丫,丫头
鸦,,鴉,鸦雀无声
芽,,芽,萌芽 芽
崖,,崖,悬崖
涯,,涯,生涯
哑,,啞,哑
雅,,雅,高雅 文雅 优雅
讶,,訝,惊讶
咽,,咽/嚥,呜咽 咽喉 咽
淹,,淹,淹
岩,,岩,岩石
阎,,閻,阎王
衍,,衍,衍生
掩,,掩,掩盖 掩护 掩饰
雁,,雁,大雁
焰,,焰,火焰 焰火
燕,,燕,燕子
殃,,殃,遭殃
秧,,秧,秧歌
杨,,楊,杨树
痒,,癢,痒
漾,,漾,荡漾
妖,,妖,妖怪
窑,,窯,窑
谣,,謠,谣言
遥,,遙,遥控 遥远
钥,,鑰,钥匙
椰,,椰,椰子
冶,,冶,陶冶
伊,,伊,伊斯兰教
夷,,夷,化险为夷
怡,,怡,怡然自得
矣,,矣,矣
倚,,倚,倚
屹,,屹,屹立
亦,,亦,不亦乐乎 亦
抑,,抑,压抑 抑扬顿挫 抑郁 抑郁症 抑制
役,,役,退役
绎,,繹,络绎不绝 演绎
弈,,弈,对弈
疫,,疫,防疫 免疫 瘟疫 疫苗
逸,,逸,安逸
裔,,裔,后裔 华裔
溢,,溢,洋溢 溢
毅,,毅,刚毅 毅力 毅然
翼,,翼,不翼而飞 小心翼翼
荫,,蔭,树荫
姻,,姻,婚姻
殷,,殷,殷勤
瘾,,癮,过瘾 上瘾 瘾
婴,,嬰,婴儿
鹰,,鷹,鹰
荧,,熒,荧光
盈,,盈,盈利
莹,,瑩,晶莹
蝇,,蠅,苍蝇
颖,,穎,脱颖而出 新颖
佣,,傭,雇佣
庸,,庸,庸俗 中庸
咏,,詠,歌咏
涌,,湧,汹涌 涌 涌入 涌现
踊,,踴,踊跃
悠,,悠,忽悠 悠久 悠闲 转悠
佑,,佑,保佑
诱,,誘,引诱 诱饵 诱发 诱惑 诱人
渔,,漁,渔船 渔民
逾,,逾,逾期
渝,,,
愚,,愚,愚蠢 愚公移山
舆,,輿,舆论
屿,,嶼,岛屿
驭,,馭,驾驭
郁,,郁/鬱,浓郁 抑郁 抑郁症 忧郁
吁,,籲,呼吁
狱,,獄,地狱 监狱
浴,,浴,沐浴露 浴室
喻,,喻,比喻 家喻户晓
御,,禦,抵御 防御
寓,,寓,公寓 寓言 寓意
裕,,裕,富裕
愈,,癒/愈,愈合 愈来愈 愈演愈烈 治愈
冤,,冤,冤 冤枉
渊,,淵,渊源
袁,,,
曰,,曰,曰
岳,,岳,岳父 岳母
悦,,悅,喜悦 悦耳
粤,,,
匀,,勻,均匀
陨,,隕,陨石
孕,,孕,怀孕 孕妇 孕育
酝,,醞,酝酿
韵,,韻,韵味
蕴,,蘊,底蕴 蕴藏 蕴涵
砸,,砸,砸
栽,,栽,栽 栽培
宰,,宰,任人宰割 宰 主宰
攒,,攢,攒
赃,,贓,分赃
葬,,葬,陪葬 葬 葬礼
凿,,鑿,确凿 凿
枣,,棗,枣
藻,,藻,海藻
皂,,皂,肥皂
灶,,灶,炉灶
噪,,噪,噪声 噪音
燥,,燥,干燥 枯燥
躁,,躁,暴躁 烦躁 浮躁 焦躁
泽,,澤,光泽 沼泽
贼,,賊,贼
渣,,渣,渣子
闸,,閘,闸
眨,,眨,眨眼
诈,,詐,讹诈 奸诈 欺诈 敲诈 诈骗
榨,,榨,榨
窄,,窄,狭窄 窄
寨,,寨,山寨
沾,,沾,沾 沾光
粘,,粘,粘
瞻,,瞻,瞻仰
斩,,斬,斩 斩草除根
盏,,盞,盏
崭,,嶄,崭新
绽,,綻,绽放
蘸,,蘸,蘸
彰,,彰,表彰
仗,,仗,打仗
杖,,杖,禅杖 拐杖
帐,,帳,蚊帐 帐篷 帐子
胀,,脹,膨胀 胀
沼,,沼,沼泽
兆,,兆,预兆 兆头
赵,,,
罩,,罩,口罩 笼罩 罩
肇,,肇,肇事
遮,,遮,遮 遮盖
辙,,轍,没辙
浙,,,
贞,,貞,忠贞
侦,,偵,侦察
枕,,枕,枕头
睁,,睜,睁
筝,,箏,风筝
蒸,,蒸,蒸
拯,,拯,拯救
郑,,鄭,郑重
芝,,芝,芝麻 芝士
肢,,肢,肢体
脂,,脂,脂肪
旨,,旨,旨在 宗旨
帜,,幟,旗帜
峙,,峙,对峙
挚,,摯,诚挚 真挚
秩,,秩,秩序
窒,,窒,窒息
滞,,滯,滞后 滞留
稚,,稚,幼稚
衷,,衷,初衷 热衷 由衷 衷心
仲,,仲,仲裁
舟,,舟,刻舟求剑 龙舟 同舟共济
州,,,
洲,,,
轴,,軸,车轴
宙,,宙,宇宙
昼,,晝,昼夜
皱,,皺,皱
骤,,驟,暴风骤雨 步骤 骤然
朱,,朱,朱红
株,,株,守株待兔 株
烛,,燭,蜡烛
拄,,拄,拄
嘱,,囑,叮嘱 遗嘱 嘱咐
瞩,,矚,举世瞩目 瞩目
贮,,貯,贮藏
铸,,鑄,铸造
爪,,爪,爪子
拽,,拽,拽
砖,,磚,砖
撰,,撰,撰写
妆,,妝,化妆 嫁妆
桩,,樁,桩
幢,,幢,幢
坠,,墜,下坠 摇摇欲坠 坠
缀,,綴,点缀
拙,,拙,拙劣
灼,,灼,灼热
卓,,卓,卓越
浊,,濁,混浊
酌,,酌,酌情
琢,,琢,琢磨
姿,,姿,姿势 姿态
兹,,茲,兹
滋,,滋,艾滋病 美滋滋 滋润 滋味
踪,,蹤,跟踪 失踪 追踪
粽,,粽,粽子
揍,,揍,揍
卒,,卒,小卒
佐,,佐,佐料
