character,writing_level,traditional,examples
娥,,娥,嫦娥
鹅,,鵝,鹅 天鹅
厄,,厄,厄运
遏,,遏,遏制
鳄,,鱷,鳄鱼
饵,,餌,诱饵
伐,,伐,步伐
阀,,閥,阀门
帆,,帆/颿,帆 帆船 一帆风顺
贩,,販,贩卖 商贩 小贩
芳,,芳,芬芳
妨,,妨,不妨 妨碍 妨害
肪,,肪,脂肪
纺,,紡,纺织
绯,,緋,绯闻
匪,,匪,土匪
诽,,誹,诽谤
沸,,沸,沸沸扬扬 沸腾
芬,,芬,芬芳
吩,,吩,吩咐
坟,,墳,坟 坟墓
焚,,焚,焚烧 心急如焚
粪,,糞,粪 粪便
蜂,,蜂,蜂蜜 蜜蜂
冯,,,
逢,,逢,逢 每逢 萍水相逢
缝,,縫,缝 缝合 裂缝
讽,,諷,讽刺
凤,,鳳,凤凰
孵,,孵,孵化
敷,,敷,敷
伏,,伏,此起彼伏 埋伏 起伏
俘,,俘,俘获 俘虏
袱,,袱,包袱
辐,,輻,辐射
抚,,撫,安抚 抚摸 抚恤 抚养 抚养费
斧,,斧,斧子
俯,,俯,俯首
咐,,咐,吩咐 嘱咐
赴,,赴,奔赴 赴 赶赴 前赴后继 全力以赴
赋,,賦,赋予 天赋
腹,,腹,腹部 腹泻
缚,,縛,束缚
覆,,覆,颠覆 翻来覆去 翻天覆地 覆盖
尬,,尬,尴尬
丐,,丐,乞丐
钙,,鈣,钙
溉,,溉,灌溉
甘,,甘,甘心
竿,,竿,竹竿
尴,,尷,尴尬
冈,,岡,山冈
缸,,缸,缸
杠,,槓,杠铃
膏,,膏,牙膏
戈,,戈,干戈 戈壁
胳,,胳,胳膊
鸽,,鴿,鸽子
搁,,擱,耽搁 搁 搁浅 搁置
割,,割,分割 割 切割 任人宰割
阁,,閣,内阁
耕,,耕,耕地
耿,,耿,耿直
弓,,弓,弓
恭,,恭,恭维 恭喜
躬,,躬,鞠躬
拱,,拱,拱
勾,,勾,勾 勾画 勾结
钩,,鉤,钩 钩子 挂钩
沽,,沽,沽名钓誉
菇,,菇,蘑菇
辜,,辜,辜负 无辜
雇,,雇/僱,雇 雇佣 雇员 雇主 解雇
寡,,寡,孤陋寡闻 寡妇
卦,,卦,八卦
乖,,乖,乖 乖巧
棺,,棺,棺材
灌,,灌,灌 灌溉 灌输
罐,,罐,罐 罐头 易拉罐
龟,,龜,龟
闺,,閨,闺女
瑰,,瑰,瑰宝 玫瑰
桂,,桂,桂花
棍,,棍,冰棍儿 棍 棍子
郭,,,
骇,,駭,骇人听闻
酣,,酣,酣畅 酣睡
函,,函,公函 函授
涵,,涵,涵盖 涵义 内涵 蕴涵
韩,,,
罕,,罕,罕见 稀罕
旱,,旱,干旱 旱 旱灾
捍,,捍,捍卫
焊,,焊,焊
撼,,撼,震撼
杭,,,
浩,,浩,浩劫
呵,,呵,呵护
禾,,禾,禾苗
阂,,閡,隔阂
荷,,荷,荷花
赫,,赫,赫然 显赫
鹤,,鶴,鹤立鸡群 仙鹤
嘿,,嘿,嘿
痕,,痕,痕迹 裂痕 伤痕
哼,,哼,哼
恒,,恆,持之以恒 永恒
轰,,轟,轰 轰动 轰炸
哄,,哄/鬨,哄 哄堂大笑
烘,,烘,烘干 烘托 暖烘烘
弘,,弘,弘扬
虹,,虹,彩虹
喉,,喉,喉咙 咽喉
吼,,吼,吼
弧,,弧,括弧
唬,,唬,吓唬
沪,,,
哗,,嘩/譁,哗变 哗然 喧哗
猾,,猾,狡猾
徊,,徊,徘徊
淮,,,
槐,,槐,槐树
唤,,喚,呼风唤雨 呼唤 唤起 使唤
焕,,煥,焕发 容光焕发
痪,,瘓,瘫痪
荒,,荒,荒 荒诞 荒凉 荒谬
凰,,凰,凤凰
煌,,煌,辉煌
恍,,恍,恍然大悟
晃,,晃,晃 晃荡 摇晃 一晃
谎,,謊,谎话 谎言 撒谎 说谎
徽,,徽,国徽
卉,,卉,花卉
