word,pinyin,pos,english
爱心,àixīn,N,
安排,ānpái,V/N,
安装,ānzhuāng,V,
按,àn,V/Prep,
按照,ànzhào,Prep,
把,bǎ,Prep,
把,bǎ,M,
把握,bǎwò,V/N,
白,bái,Adv,
白菜,báicài,N,
班级,bānjí,N,
搬,bān,V,
搬家,bānjiā,,
板,bǎn,N,
办理,bànlǐ,V,
保,bǎo,V,
保安,bǎo'ān,N,
保持,bǎochí,V,
保存,bǎocún,V,
保护,bǎohù,V,
保留,bǎoliú,V,
保险,bǎoxiǎn,Adj/N,
保证,bǎozhèng,V/N,
报,bào,N,
报到,bàodào,,
报道,bàodào,V/N,
报告,bàogào,V/N,
背,bēi,V,
北部,běibù,N,
背,bèi,N,
背后,bèihòu,N,
被,bèi,Prep,
被子,bèizi,N,
本来,běnlái,Adj/Adv,
本领,běnlǐng,N,
本事,běnshi,N,
比较,bǐjiào,Adv/V,
比例,bǐlì,N,
比赛,bǐsài,V/N,
必然,bìrán,Adj,
必要,bìyào,Adj/N,
变化,biànhuà,V/N,
变为,biànwéi,,
标题,biāotí,N,
标准,biāozhǔn,N/Adj,
表达,biǎodá,V,
表格,biǎogé,N,
表面,biǎomiàn,N,
表明,biǎomíng,V,
表现,biǎoxiàn,V/N,
表演,biǎoyǎn,V/N,
并,bìng,Adv/Conj,
并且,bìngqiě,Conj,
播出,bōchū,,
播放,bōfàng,V,
不必,bùbì,Adv,
不断,bùduàn,V/Adv,
不论,bùlùn,Conj,
补,bǔ,V,
补充,bǔchōng,V/N,
不安,bù'ān,Adj,
不得不,bùdébù,,
不光,bùguāng,Adv/Conj,
不仅,bùjǐn,Conj,
布,bù,N,
步,bù,N/M,
部,bù,N/M,
部门,bùmén,N,
部长,bùzhǎng,N,
才能,cáinéng,N,
采取,cǎiqǔ,V,
采用,cǎiyòng,V,
彩色,cǎisè,N,
曾经,céngjīng,Adv,
产生,chǎnshēng,V,
长城,Chángchéng,N,
长处,chángchù,N,
长期,chángqī,N,
厂,chǎng,N,
场合,chǎnghé,N,
场所,chǎngsuǒ,N,
超级,chāojí,Adj,
朝,cháo,Prep/V,
吵,chǎo,Adj/V,
吵架,chǎojià,,
衬衫,chènshān,N,
衬衣,chènyī,N,
称为,chēngwéi,,
成功,chénggōng,V/Adj,
成果,chéngguǒ,N,
成就,chéngjiù,N/V,
成立,chénglì,V,
成熟,chéngshú,Adj,
成员,chéngyuán,N,
成长,chéngzhǎng,V,
城,chéng,N,
城市,chéngshì,N,
程度,chéngdù,N,
持续,chíxù,V,
充满,chōngmǎn,V,
重,chóng,Adv,
初,chū,Adv,
初,chū,Prefix,
初一,chūyī,N,
初步,chūbù,Adj,
初级,chūjí,Adj,
初中,chūzhōng,N,
除了,chúle,Prep,
处理,chǔlǐ,V/N,
传,chuán,V,
传播,chuánbō,V,
传来,chuánlái,,
传说,chuánshuō,V/N,
创新,chuàngxīn,V/N,
创业,chuàngyè,V,
创造,chuàngzào,V/N,
创作,chuàngzuò,V/N,
从来,cónglái,Adv,
从前,cóngqián,N,
从事,cóngshì,V,
村,cūn,N,
存,cún,V,
存在,cúnzài,V,
错误,cuòwù,Adj/N,
达到,dádào,,
打破,dǎpò,,
打听,dǎting,V,
大概,dàgài,Adj/Adv,
大使馆,dàshǐguǎn,N,
大约,dàyuē,Adv,
大夫,dàifu,N,
代,dài,V/N,
代表,dàibiǎo,N/V,
代表团,dàibiǎotuán,N,
带动,dàidòng,V,
带领,dàilǐng,V,
单元,dānyuán,N,
当初,dāngchū,N,
当地,dāngdì,N,
当然,dāngrán,Adj/Adv,
当中,dāngzhōng,N,
刀,dāo,N,
导演,dǎoyǎn,V/N,
到达,dàodá,V,
到底,dàodǐ,Adv,
得分,défēn,V/N,
等待,děngdài,V,
底下,dǐxia,N,
地区,dìqū,N,
电视剧,diànshìjù,N,
电视台,diànshìtái,N,
电台,diàntái,N,
电子邮件,diànzǐ yóujiàn,,
调,diào,V,
调查,diàochá,V/N,
订,dìng,V,
定期,dìngqī,V/Adj,
东部,dōngbù,N,
动力,dònglì,N,
动人,dòngrén,Adj,
读者,dúzhě,N,
短处,duǎnchù,N,
短裤,duǎnkù,N,
短期,duǎnqī,N,
断,duàn,V,
队员,duìyuán,N,
对待,duìdài,V,
对方,duìfāng,N,
对手,duìshǒu,N,
对象,duìxiàng,N,
顿,dùn,M,
发表,fābiǎo,V,
发出,fāchū,V,
发达,fādá,Adj,
发动,fādòng,V,
发明,fāmíng,V/N,
发生,fāshēng,V,
发送,fāsòng,V,
发言,fāyán,V/N,
发展,fāzhǎn,V/N,
反对,fǎnduì,V,
反复,fǎnfù,Adv/N,
反应,fǎnyìng,V/N,
反正,fǎnzhèng,Adv,
范围,fànwéi,N,
方式,fāngshì,N,
防,fáng,V,
防止,fángzhǐ,V,
房东,fángdōng,N,
房屋,fángwū,N,
房租,fángzū,N,
访问,fǎngwèn,V,
放到,fàngdào,,
飞行,fēixíng,V,
费,fèi,V/N,
费用,fèiyong,N,
分别,fēnbié,V/Adv,
分配,fēnpèi,V,
分组,fēn zǔ,,
丰富,fēngfù,Adj,
风险,fēngxiǎn,N,
否定,fǒudìng,V/Adj,
否认,fǒurèn,V,
服装,fúzhuāng,N,
福,fú,N,
父母,fùmǔ,N,
父亲,fùqīn,N,
付,fù,V,
负责,fùzé,V/Adj,
复印,fùyìn,V,
复杂,fùzá,Adj,
富,fù,Adj,
改进,gǎijìn,V,
改造,gǎizào,V,
概念,gàiniàn,N,
赶,gǎn,V,
