word,pinyin,pos,english
拨,bō,V,
拨款,bōkuǎn,N,
拨通,bōtōng,,
波及,bōjí,V,
波澜,bōlán,N,
波涛,bōtāo,N,
波折,bōzhé,N,
剥夺,bōduó,V,
剥削,bōxuē,V/N,
伯伯,bóbo,N,
伯父,bófù,N,
伯母,bómǔ,N,
驳回,bóhuí,V,
脖子,bózi,N,
搏斗,bódòu,V,
不定,bùdìng,Adj/Adv,
不见得,bùjiàndé,Adv,
不利于,bùlì yú,,
不慎,bùshèn,Adj,
不适,bùshì,Adj,
不算,bù suàn,,
不像话,bùxiànghuà,Adj,
不屑,bùxiè,V,
不懈,bùxiè,Adj,
不亚于,bùyàyú,V,
不亦乐乎,bùyìlèhū,,
不翼而飞,bùyì'érfēi,,
不用说,bùyòngshuō,,
不正之风,bùzhèngzhīfēng,,
补给,bǔjǐ,V/N,
补救,bǔjiù,V,
捕捉,bǔzhuō,V,
哺育,bǔyù,V,
不耻下问,bùchǐ-xiàwèn,,
不辞而别,bùcí'érbié,,
不得而知,bùdé'érzhī,,
不得已,bùdéyǐ,Adj,
不妨,bùfáng,Adv,
不服,bùfú,V,
不服气,bù fúqì,,
不假思索,bùjiǎ-sīsuǒ,,
不解,bùjiě,V,
不经意,bùjīngyì,V,
不景气,bùjǐngqì,Adj,
不堪,bùkān,V/Adj,
不可避免,bùkě-bìmiǎn,,
不可思议,bùkě-sīyì,,
不肯,bù kěn,,
不理,bù lǐ,,
不了了之,bùliǎo-liǎozhī,,
不难,bù nán,,
不平,bùpíng,Adj/N,
不起眼,bùqǐyǎn,,
不容,bùróng,V,
不如说,bùrú shuō,,
不同寻常,bùtóng-xúncháng,,
不为人知,bùwéirénzhī,,
不惜,bùxī,V,
不相上下,bùxiāng-shàngxià,,
不宜,bùyí,V,
不已,bùyǐ,V,
不以为然,bùyǐwéirán,,
不由得,bùyóude,V/Adv,
不由自主,bùyóuzìzhǔ,,
不予,bù yǔ,,
不约而同,bùyuē'értóng,,
不知,bùzhī,V,
不知不觉,bùzhī-bùjué,,
不准,bù zhǔn,,
布局,bùjú,N/V,
步伐,bùfá,N,
步入,bùrù,V,
步骤,bùzhòu,N,
部件,bùjiàn,N,
部署,bùshǔ,V,
猜谜,cāimí,,
猜想,cāixiǎng,V,
才华,cáihuá,N,
财经,cáijīng,N,
财力,cáilì,N,
财务,cáiwù,N,
财物,cáiwù,N,
财政,cáizhèng,N,
裁,cái,V,
裁定,cáidìng,V,
裁决,cáijué,V,
采,cǎi,V,
采集,cǎijí,V,
采矿,cǎikuàng,,
彩电,cǎidiàn,N,
彩虹,cǎihóng,N,
彩霞,cǎixiá,N,
菜市场,càishìchǎng,N,
参见,cānjiàn,V,
参军,cānjūn,,
参谋,cānmóu,V/N,
参照,cānzhào,V,
餐桌,cānzhuō,N,
残,cán,V,
残留,cánliú,V,
残缺,cánquē,V,
残忍,cánrěn,Adj,
惭愧,cánkuì,Adj,
惨白,cǎnbái,Adj,
惨痛,cǎntòng,Adj,
惨重,cǎnzhòng,Adj,
灿烂,cànlàn,Adj,
苍蝇,cāngying,N,
沧桑,cāngsāng,N,
舱,cāng,N,
藏匿,cángnì,V,
藏品,cángpǐn,N,
藏身,cángshēn,V,
操控,cāokòng,V,
操劳,cāoláo,V,
操心,cāoxīn,,
槽,cáo,N,
草案,cǎo'àn,N,
草坪,cǎopíng,N,
侧面,cèmiàn,N,
侧重,cèzhòng,V,
测算,cèsuàn,V,
测验,cèyàn,V/N,
层出不穷,céngchū-bùqióng,,
蹭,cèng,V,
差错,chācuò,N,
差额,chā'é,N,
插手,chāshǒu,,
插图,chātú,N,
插嘴,chāzuǐ,,
茶道,chádào,N,
茶馆儿,cháguǎnr,N,
查处,cháchǔ,V,
查明,chámíng,V,
查找,cházhǎo,V,
察觉,chájué,V,
察看,chákàn,V,
诧异,chàyì,Adj,
掺,chān,V,
搀,chān,V,
馋,chán,Adj/V,
禅杖,chánzhàng,N,
缠,chán,V,
产,chǎn,V,
产地,chǎndì,N,
产物,chǎnwù,N,
产值,chǎnzhí,N,
铲,chǎn,V,
铲,chǎn,V,
铲子,chǎnzi,N,
阐述,chǎnshù,V,
颤抖,chàndǒu,V,
猖狂,chāngkuáng,Adj,
长达,cháng dá,,
长期以来,chángqī yǐlái,,
长效,chángxiào,N/Adj,
长征,chángzhēng,N,
长足,chángzú,Adj,
常理,chánglǐ,N,
常人,chángrén,N,
常态,chángtài,N,
常温,chángwēn,N,
偿还,chánghuán,V,
嫦娥,Cháng'é,N,
厂家,chǎngjiā,N,
敞开,chǎngkāi,V,
畅谈,chàngtán,V,
畅销,chàngxiāo,V,
倡议,chàngyì,V/N,
抄袭,chāoxí,V,
钞票,chāopiào,N,
超标,chāobiāo,,
超车,chāochē,,
超前,chāoqián,Adj/V,
超速,chāosù,V,
朝代,cháodài,N,
朝着,cháozhe,,
嘲弄,cháonòng,V,
嘲笑,cháoxiào,V,
吵嘴,chǎozuǐ,,
车道,chēdào,N,
车祸,chēhuò,N,
车间,chējiān,N,
车轮,chēlún,N,
车速,chēsù,N,
车位,chēwèi,N,
车厢,chēxiāng,N,
车型,chēxíng,N,
车轴,chēzhóu,N,
扯,chě,V,
彻夜,chèyè,Adv,
撤,chè,V,
撤换,chèhuàn,V,
沉甸甸,chéndiàndiàn,Adj,
沉淀,chéndiàn,V/N,
沉浸,chénjìn,V,
沉闷,chénmèn,Adj,
沉迷,chénmí,V,
沉思,chénsī,V,
沉稳,chénwěn,Adj,
沉着,chénzhuó,Adj,
陈旧,chénjiù,Adj,
陈列,chénliè,V,
陈述,chénshù,V,
衬托,chèntuō,V,
趁,chèn,Prep,
趁机,chènjī,Adv,
趁早,chènzǎo,Adv,
趁着,chènzhe,,
称呼,chēnghu,V/N,
称作,chēngzuò,,
成才,chéngcái,V,
成家,chéngjiā,,
成年,chéngnián,V,
成年,chéngnián,Adv,
成千上万,chéngqiān-shàngwàn,,
成群结队,chéngqún-jiéduì,,
成天,chéngtiān,Adv,
成问题,chéngwèntí,,
成型,chéngxíng,V,
呈现,chéngxiàn,V,
诚恳,chéngkěn,Adj,
诚心诚意,chéngxīn-chéngyì,,
诚意,chéngyì,N,
诚挚,chéngzhì,Adj,
承包,chéngbāo,V,
承载,chéngzài,V,
城墙,chéngqiáng,N,
乘人之危,chéngrénzhīwēi,,
盛,chéng,V,
惩处,chéngchǔ,V,
惩罚,chéngfá,V/N,
澄清,chéngqīng,V/Adj,
橙汁,chéngzhī,N,
逞能,chěngnéng,,
逞强,chěngqiáng,,
秤,chèng,N,
吃不上,chī bushàng,V,
吃喝玩乐,chī-hē-wán-lè,,
吃苦,chīkǔ,,
吃亏,chīkuī,,
痴呆,chīdāi,Adj,
痴呆,chīdāi,Adj,
痴迷,chīmí,V,
痴心,chīxīn,N,
池塘,chítáng,N,
驰名,chímíng,V,
迟迟,chíchí,Adv,
迟疑,chíyí,Adj,
迟早,chízǎo,Adv,
持,chí,V,
持久,chíjiǔ,Adj,
持之以恒,chízhī-yǐhéng,,
尺度,chǐdù,N,
耻辱,chǐrǔ,N,
耻笑,chǐxiào,V,
赤字,chìzì,N,
翅膀,chìbǎng,N,
冲刺,chōngcì,V,
冲浪,chōnglàng,V,
冲洗,chōngxǐ,V,
冲撞,chōngzhuàng,V,
充,chōng,V,
充当,chōngdāng,V,
充沛,chōngpèi,Adj,
充实,chōngshí,Adj/V,
重播,chóngbō,V,
重叠,chóngdié,V,
重返,chóngfǎn,V,
重合,chónghé,V,
重申,chóngshēn,V,
重现,chóngxiàn,V,
崇高,chónggāo,Adj,
崇尚,chóngshàng,V,
宠,chǒng,V,
宠爱,chǒng'ài,V,
抽签,chōuqiān,,
抽屉,chōuti,N,
抽象,chōuxiàng,Adj,
仇,chóu,N,
仇恨,chóuhèn,V/N,
仇人,chóurén,N,
稠,chóu,Adj,
稠密,chóumì,Adj,
愁眉苦脸,chóuméi-kǔliǎn,,
筹,chóu,V,
筹办,chóubàn,V,
筹备,chóubèi,V,
筹措,chóucuò,V,
筹划,chóuhuà,V/N,
筹集,chóují,V,
筹码,chóumǎ,N,
丑恶,chǒu'è,Adj,
丑陋,chǒulòu,Adj,
丑闻,chǒuwén,N,
瞅,chǒu,V,
出版社,chūbǎnshè,N,
出厂,chūchǎng,,
出丑,chūchǒu,,
出道,chūdào,,
出发点,chūfādiǎn,N,
出风头,chū fēngtou,,
出境,chūjìng,,
出局,chūjú,,
出具,chūjù,V,
出口成章,chūkǒu-chéngzhāng,,
出卖,chūmài,V,
出毛病,chū máobìng,,
出难题,chū nántí,,
出人意料,chūrényìliào,,
出任,chūrèn,V,
出山,chūshān,,
出身,chūshēn,V/N,
出示,chūshì,V,
出手,chūshǒu,,
出头,chūtóu,,
出土,chūtǔ,,
出息,chūxi,N,
出血,chūxiě,,
出演,chūyǎn,V,
出洋相,chū yángxiàng,,
出游,chūyóu,V,
出众,chūzhòng,Adj,
出主意,chū zhǔyi,,
出资,chūzī,V,
出自,chūzì,V,
出走,chūzǒu,V,
初次,chūcì,N,
初衷,chūzhōng,N,
除此之外,chúcǐzhīwài,,
除去,chúqù,V/Prep,
除外,chúwài,V,
处方,chǔfāng,V/N,
处境,chǔjìng,N,
处置,chǔzhì,V,
储备,chǔbèi,V/N,
储蓄,chǔxù,V/N,
触动,chùdòng,V,
触犯,chùfàn,V,
触觉,chùjué,N,
触摸,chùmō,V,
触目惊心,chùmù-jīngxīn,,
揣,chuāi,V,
揣测,chuǎicè,V,
揣摩,chuǎimó,V,
踹,chuài,V,
川流不息,chuānliú-bùxī,,
穿过,chuānguò,V,
穿小鞋,chuān xiǎoxié,,
穿越,chuānyuè,V,
穿着,chuānzhuó,N,
传承,chuánchéng,V/N,
传奇,chuánqí,N,
传染,chuánrǎn,V,
传染病,chuánrǎnbìng,N,
传人,chuánrén,N,
传授,chuánshòu,V,
传闻,chuánwén,V/N,
船舶,chuánbó,N,
船桨,chuánjiǎng,N,
喘,chuǎn,V,
喘息,chuǎnxī,V,
串门,chuànmén,,
创伤,chuāngshāng,N,
床位,chuángwèi,N,
创,chuàng,V,
创始人,chuàngshǐrén,N,
吹了,chuī le,,
吹牛,chuīniú,,
吹捧,chuīpěng,V,
垂,chuí,V,
垂头丧气,chuítóu-sàngqì,,
捶,chuí,V,
锤子,chuízi,N,
纯粹,chúncuì,Adj,
纯洁,chúnjié,Adj/V,
纯朴,chúnpǔ,Adj,
醇厚,chúnhòu,Adj,
蠢,chǔn,Adj,
戳,chuō,V/N,
绰号,chuòhào,N,
瓷,cí,N,
瓷器,cíqì,N,
辞,cí,V,
辞呈,cíchéng,N,
辞去,cíqù,,
辞退,cítuì,V,
慈善,císhàn,Adj,
慈祥,cíxiáng,Adj,
磁带,cídài,N,
磁卡,cíkǎ,N,
磁盘,cípán,N,
此起彼伏,cǐqǐ-bǐfú,,
次日,cìrì,N,
伺候,cìhou,V,
刺耳,cì'ěr,Adj,
刺骨,cìgǔ,V,
刺绣,cìxiù,V/N,
赐,cì,V,
赐教,cìjiào,V,
匆匆,cōngcōng,Adj,
匆忙,cōngmáng,Adj,
葱,cōng,N,
从今以后,cóng jīn yǐhòu,,
从来不,cónglái bù,,
从容,cóngróng,Adj,
从容不迫,cóngróng-bùpò,,
从头,cóngtóu,Adv,
从未,cóngwèi,Adv,
从业,cóngyè,V,
从早到晚,cóngzǎo-dàowǎn,,
丛林,cónglín,N,
凑,còu,V,
凑合,còuhe,V,
凑巧,còuqiǎo,Adj,
粗暴,cūbào,Adj,
粗糙,cūcāo,Adj,
粗鲁,cūlǔ,Adj,
粗略,cūlüè,Adj,
粗心大意,cūxīn-dàyì,,
促成,cùchéng,V,
簇拥,cùyōng,V,
窜,cuàn,V,
催,cuī,V,
催促,cuīcù,V,
催眠,cuīmián,V,
摧毁,cuīhuǐ,V,
脆弱,cuìruò,Adj,
翠绿,cuìlǜ,Adj,
存放,cúnfàng,V,
存心,cúnxīn,V/Adv,
存折,cúnzhé,N,
搓,cuō,V,
磋商,cuōshāng,V,
挫折,cuòzhé,V/N,
措手不及,cuòshǒu-bùjí,,
错别字,cuòbiézì,N,
错觉,cuòjué,N,
错位,cuòwèi,,
错综复杂,cuòzōng-fùzá,,
搭乘,dāchéng,V,
搭建,dājiàn,V,
达标,dábiāo,V,
答辩,dábiàn,V,
打岔,dǎchà,,
打倒,dǎdǎo,,
打盹儿,dǎdǔnr,,
打交道,dǎ jiāodao,,
打搅,dǎjiǎo,V,
打捞,dǎlāo,V,
打量,dǎliang,V,
打猎,dǎliè,,
打磨,dǎmó,V,
打通,dǎtōng,,
打仗,dǎzhàng,,
打招呼,dǎ zhāohu,,
大包大揽,dàbāo-dàlǎn,,
大笔,dàbǐ,N,
大臣,dàchén,N,
大吃一惊,dàchī-yījīng,,
大大咧咧,dàdaliēliē,Adj,
大地,dàdì,N,
大队,dàduì,N,
大幅度,dà fúdù,,
大公无私,dàgōng-wúsī,,
大家庭,dàjiātíng,N,
大街小巷,dàjiē-xiǎoxiàng,,
大惊小怪,dàjīng-xiǎoguài,,
大局,dàjú,N,
大款,dàkuǎn,N,
大面积,dà miànjī,,
大名鼎鼎,dàmíng-dǐngdǐng,,
大模大样,dàmú-dàyàng,,
大棚,dàpéng,N,
大片,dàpiàn,N,
大气,dàqì,N,
大厦,dàshà,N,
大数据,dàshùjù,N,
大肆,dàsì,Adv,
大体,dàtǐ,Adv,
大体上,dàtǐ shang,,
大同小异,dàtóng-xiǎoyì,,
大腕儿,dàwànr,N,
大选,dàxuǎn,V,
大雁,dàyàn,N,
大意,dàyì,N,
大意,dàyi,Adj,
大有可为,dàyǒu-kěwéi,,
大宗,dàzōng,Adj/N,
歹徒,dǎitú,N,
逮,dǎi,V,
代号,dàihào,N,
代理人,dàilǐrén,N,
代言人,dàiyánrén,N,
带队,dàiduì,V,
带路,dàilù,,
带头,dàitóu,,
带头人,dàitóurén,N,
待,dài,V,
怠工,dàigōng,,
怠慢,dàimàn,V,
逮捕,dàibǔ,V,
担,dān,V,
担当,dāndāng,V,
担负,dānfù,V,
单边,dānbiān,Adj,
单薄,dānbó,Adj,
单方面,dānfāngmiàn,N,
单身,dānshēn,N,
耽搁,dānge,V,
耽误,dānwu,V,
胆怯,dǎnqiè,Adj,
胆子,dǎnzi,N,
但愿,dànyuàn,V,
担,dàn,M,
担子,dànzi,N,
诞辰,dànchén,N,
淡化,dànhuà,V,
淡季,dànjì,N,
蛋白质,dànbáizhì,N,
当即,dāngjí,Adv,
当今,dāngjīn,N,
当面,dāngmiàn,,
当日,dāngrì,N,
当事人,dāngshìrén,N,
当务之急,dāngwùzhījí,,
当下,dāngxià,Adv,
当心,dāngxīn,V,
当着,dāngzhe,,
当之无愧,dāngzhīwúkuì,,
当众,dāngzhòng,Adv,
当晚,dàngwǎn,N,
当真,dàngzhēn,V/Adv,
荡漾,dàngyàng,V,
荡漾,dàngyàng,V,
档次,dàngcì,N,
导弹,dǎodàn,N,
导航,dǎoháng,V,
导火索,dǎohuǒsuǒ,N,
导师,dǎoshī,N,
导向,dǎoxiàng,V/N,
岛屿,dǎoyǔ,N,
捣乱,dǎoluàn,,
倒卖,dǎomài,V,
倒霉,dǎoméi,,
倒塌,dǎotā,V,
倒下,dǎoxia,,
到头来,dàotóulái,Adv,
到位,dàowèi,,
倒计时,dàojìshí,V,
倒数,dàoshǔ,V,
盗,dào,V,
盗窃,dàoqiè,V,
