word,pinyin,pos,english
阿姨,āyí,N,
啊,ā,Intj,
矮,ǎi,Adj,
矮小,ǎixiǎo,Adj,
爱国,àiguó,,
爱护,àihù,V,
安,ān,V/Adj,
安置,ānzhì,V,
按时,ànshí,Adv,
暗,àn,Adj,
暗示,ànshì,V,
巴士,bāshì,N,
百货,bǎihuò,N,
摆,bǎi,V,
摆动,bǎidòng,V,
摆脱,bǎituō,V,
败,bài,V,
办事,bànshì,,
包裹,bāoguǒ,N/V,
包含,bāohán,V,
包括,bāokuò,V,
薄,báo,Adj,
宝,bǎo,N,
宝宝,bǎobao,N,
宝贝,bǎobèi,N,
宝贵,bǎoguì,Adj,
宝石,bǎoshí,N,
保密,bǎomì,,
保守,bǎoshǒu,V/Adj,
抱,bào,V,
背景,bèijǐng,N,
倍,bèi,M,
被迫,bèipò,V,
本科,běnkē,N,
笨,bèn,Adj,
比分,bǐfēn,N,
毕业,bìyè,,
毕业生,bìyèshēng,N,
避,bì,V,
避免,bìmiǎn,V,
编,biān,V,
辩论,biànlùn,V/N,
标志,biāozhì,V/N,
表情,biǎoqíng,N,
表扬,biǎoyáng,V,
别,bié,V,
冰,bīng,N,
冰箱,bīngxiāng,N,
冰雪,bīngxuě,N/Adj,
兵,bīng,N,
并,bìng,V,
不要紧,bùyàojǐn,Adj,
不在乎,bùzàihu,V,
不管,bùguǎn,Conj,
不然,bùrán,Conj,
布置,bùzhì,V,
步行,bùxíng,V,
擦,cā,V,
才,cái,N,
材料,cáiliào,N,
财产,cáichǎn,N,
财富,cáifù,N,
采访,cǎifǎng,V/N,
参考,cānkǎo,V,
参与,cānyù,V,
操场,cāochǎng,N,
操作,cāozuò,V,
测,cè,V,
测量,cèliáng,V,
测试,cèshì,V/N,
曾,céng,Adv,
茶叶,cháyè,N,
产品,chǎnpǐn,N,
长途,chángtú,Adj/N,
常识,chángshí,N,
唱片,chàngpiàn,N,
抄,chāo,V,
抄写,chāoxiě,V,
潮,cháo,N/Adj,
潮流,cháoliú,N,
潮湿,cháoshī,Adj,
彻底,chèdǐ,Adj,
沉,chén,V/Adj,
沉默,chénmò,Adj/V,
沉重,chénzhòng,Adj,
称赞,chēngzàn,V,
成人,chéngrén,N,
诚实,chéngshí,Adj,
诚信,chéngxìn,Adj,
承担,chéngdān,V,
承认,chéngrèn,V,
承受,chéngshòu,V,
程序,chéngxù,N,
吃惊,chījīng,,
迟到,chídào,V,
尺,chǐ,N/M,
尺寸,chǐcùn,N,
尺子,chǐzi,N,
冲,chōng,V,
冲,chōng,V,
充电,chōngdiàn,,
充电器,chōngdiànqì,N,
充分,chōngfèn,Adj,
虫子,chóngzi,N,
抽,chōu,V,
抽奖,chōujiǎng,,
抽烟,chōuyān,V,
出口,chūkǒu,,
出色,chūsè,Adj,
出售,chūshòu,V,
出席,chūxí,V,
处于,chǔyú,V,
处,chù,N,
穿上,chuānshang,,
传统,chuántǒng,N/Adj,
窗户,chuānghu,N,
窗台,chuāngtái,N,
窗子,chuāngzi,N,
春季,chūnjì,N,
纯,chún,Adj,
纯净水,chúnjìngshuǐ,N,
词汇,cíhuì,N,
此,cǐ,Pron,
此外,cǐwài,Conj,
次,cì,Adj,
刺,cì,V/N,
刺激,cìjī,V/N,
从此,cóngcǐ,Adv,
粗,cū,Adj,
粗心,cūxīn,Adj,
促进,cùjìn,V,
促使,cùshǐ,V,
促销,cùxiāo,V,
措施,cuòshī,N,
打,dá,M,
答案,dá'àn,N,
打败,dǎbài,V,
打雷,dǎléi,,
打扫,dǎsǎo,V,
打折,dǎzhé,,
打针,dǎzhēn,,
大巴,dàbā,N,
大多,dàduō,Adv,
大方,dàfang,Adj,
大哥,dàgē,N,
大规模,dà guīmó,,
大会,dàhuì,N,
大姐,dàjiě,N,
大楼,dà lóu,,
大陆,dàlù,N,
大妈,dàmā,N,
大型,dàxíng,Adj,
大爷,dàye,N,
大众,dàzhòng,N,
代替,dàitì,V,
待遇,dàiyù,N,
袋,dài,N/M,
戴,dài,V,
担保,dānbǎo,V/N,
担任,dānrèn,V,
担心,dānxīn,,
单,dān,Adj/Adv,
单纯,dānchún,Adj,
单调,dāndiào,Adj,
单独,dāndú,Adv,
淡,dàn,Adj,
导游,dǎoyóu,V/N,
导致,dǎozhì,V,
倒闭,dǎobì,V,
倒车,dǎochē,,
倒车,dàochē,,
得意,déyì,Adj,
得,děi,V,
灯光,dēngguāng,N,
登,dēng,V,
登记,dēngjì,,
登录,dēnglù,V,
登山,dēngshān,,
的确,díquè,Adv,
敌人,dírén,N,
底,dǐ,N,
地方,dìfāng,N,
地面,dìmiàn,N,
地位,dìwèi,N,
地下,dìxià,N,
地址,dìzhǐ,N,
典型,diǎnxíng,N/Adj,
点名,diǎnmíng,,
电灯,diàndēng,N,
电动车,diàndòngchē,N,
电梯,diàntī,N,
电源,diànyuán,N,
顶,dǐng,N/V/M,
定,dìng,V,
冬季,dōngjì,N,
动画片,dònghuàpiàn,N,
动摇,dòngyáo,V,
豆腐,dòufu,N,
独立,dúlì,V,
独特,dútè,Adj,
独自,dúzì,Adv,
堵,dǔ,V,
堵车,dǔchē,,
肚子,dùzi,N,
度过,dùguò,V,
锻炼,duànliàn,V,
对比,duìbǐ,V/N,
对付,duìfu,V,
对于,duìyú,Prep,
多次,duō cì,,
多年,duō nián,,
多样,duōyàng,Adj,
多种,duō zhǒng,,
恶心,ěxin,Adj/V,
儿童,értóng,N,
而,ér,Conj,
而是,ér shì,,
耳机,ěrjī,N,
二手,èrshǒu,Adj,
发挥,fāhuī,V,
发票,fāpiào,N,
发烧,fāshāo,,
法,fǎ,N,
法官,fǎguān,N,
法律,fǎlǜ,N,
法院,fǎyuàn,N,
翻,fān,V,
翻译,fānyì,V/N,
烦,fán,Adj/V,
反,fǎn,Adj/V/Adv,
反而,fǎn'ér,Adv,
反映,fǎnyìng,V/N,
方,fāng,Adj/N,
方案,fāng'àn,N,
方针,fāngzhēn,N,
放松,fàngsōng,V,
非,fēi,Adv,
肥,féi,Adj,
分布,fēnbù,V,
分散,fēnsàn,V/Adj,
分手,fēnshǒu,,
分为,fēnwéi,,
分之,fēn zhī,,
纷纷,fēnfēn,Adv,
奋斗,fèndòu,V,
风格,fēnggé,N,
风景,fēngjǐng,N,
风俗,fēngsú,N,
封闭,fēngbì,V/Adj,
否则,fǒuzé,Conj,
夫妇,fūfù,N,
夫妻,fūqī,N,
夫人,fūrén,N,
符号,fúhào,N,
符合,fúhé,V,
付出,fùchū,V,
负担,fùdān,V/N,
附近,fùjìn,N,
复制,fùzhì,V,
改善,gǎishàn,V,
改正,gǎizhèng,V,
盖,gài,V,
概括,gàikuò,V/Adj,
感兴趣,gǎn xìngqù,,
高潮,gāocháo,N,
