word,pinyin,pos,english
啊,a,Aux,
爱情,àiqíng,N,
爱人,àiren,N,
安静,ānjìng,Adj/V,
安全,ānquán,Adj/N,
白色,báisè,N,
班长,bānzhǎng,N,
办,bàn,V,
办法,bànfǎ,N,
办公室,bàngōngshì,N,
半夜,bànyè,N,
帮助,bāngzhù,V,
饱,bǎo,Adj,
报名,bàomíng,,
报纸,bàozhǐ,N,
北方,běifāng,N,
背,bèi,V,
比如,bǐrú,V,
比如说,bǐrú shuō,,
笔,bǐ,N/M,
笔记,bǐjì,N,
笔记本,bǐjìběn,N,
必须,bìxū,Adv,
边,biān,N,
变,biàn,V,
变成,biànchéng,,
遍,biàn,M,
表,biǎo,N,
表,biǎo,N,
表示,biǎoshì,V/N,
不错,bùcuò,Adj,
不但,bùdàn,Conj,
不够,bùgòu,V/Adv,
不过,bùguò,Conj,
不太,bù tài,,
不要,bùyào,Adv,
不好意思,bù hǎoyìsi,,
不久,bùjiǔ,Adj,
不满,bùmǎn,Adj,
不如,bùrú,V,
不少,bù shǎo,,
不同,bù tóng,,
不行,bùxíng,V/Adj,
不一定,bùyīdìng,Adv,
不一会儿,bù yīhuìr,,
部分,bùfen,N,
才,cái,Adv,
菜单,càidān,N,
参观,cānguān,V,
参加,cānjiā,V,
草,cǎo,N,
草地,cǎodì,N,
层,céng,M,
查,chá,V,
差不多,chàbuduō,Adj/Adv,
长,cháng,Adj,
常见,cháng jiàn,,
常用,cháng yòng,,
场,chǎng,M,
超过,chāoguò,V,
超市,chāoshì,N,
车辆,chēliàng,N,
称,chēng,V,
成,chéng,V,
成绩,chéngjì,N,
成为,chéngwéi,V,
重复,chóngfù,V,
重新,chóngxīn,Adv,
出发,chūfā,V,
出国,chūguó,,
出口,chūkǒu,N,
出门,chūmén,,
出生,chūshēng,V,
出现,chūxiàn,V,
出院,chūyuàn,,
出租,chūzū,V,
出租车,chūzūchē,N,
船,chuán,N,
吹,chuī,V,
春节,Chūnjié,N,
春天,chūntiān,N,
词,cí,N,
词典,cídiǎn,N,
词语,cíyǔ,N,
从小,cóngxiǎo,Adv,
答应,dāying,V,
打工,dǎgōng,,
打算,dǎsuàn,V/N,
打印,dǎyìn,V,
大部分,dàbùfen,N,
大大,dàdà,Adv,
大多数,dàduōshù,N,
大海,dàhǎi,N,
大家,dàjiā,Pron,
大量,dàliàng,Adj,
大门,dàmén,N,
大人,dàren,N,
大声,dà shēng,,
大小,dàxiǎo,N,
大衣,dàyī,N,
大自然,dàzìrán,N,
带,dài,V,
带来,dàilái,,
单位,dānwèi,N,
但,dàn,Conj,
但是,dànshì,Conj,
蛋,dàn,N,
当,dāng,V/Prep,
当时,dāngshí,N,
倒,dǎo,V,
到处,dàochù,Adv,
倒,dào,V,
道,dào,M,
道理,dàolǐ,N,
道路,dàolù,N,
得,dé,V,
得出,déchū,,
的话,dehuà,Aux,
得,de,Aux,
灯,dēng,N,
等,děng,Aux/N,
等到,děngdào,Prep,
等于,děngyú,V,
低,dī,Adj/V,
地球,dìqiú,N,
地铁,dìtiě,N,
地铁站,dìtiězhàn,N,
点头,diǎntóu,,
店,diàn,N,
掉,diào,V,
东北,dōngběi,N,
东方,dōngfāng,N,
东南,dōngnán,N,
冬天,dōngtiān,N,
懂,dǒng,V,
懂得,dǒngde,V,
动物,dòngwù,N,
动物园,dòngwùyuán,N,
读音,dúyīn,N,
度,dù,N/M,
短,duǎn,Adj,
短信,duǎnxìn,N,
段,duàn,M,
队,duì,N,
队长,duìzhǎng,N,
对,duì,Prep/V,
