word,pinyin,pos,english
挨着,āizhe,,
挨,ái,V,
挨打,áidǎ,V,
安检,ānjiǎn,V,
罢工,bàgōng,,
罢了,bàle,Aux,
白领,báilǐng,N,
百分点,bǎifēndiǎn,N,
办公,bàngōng,,
办事处,bànshìchù,N,
办学,bànxué,V,
半决赛,bànjuésài,N,
傍晚,bàngwǎn,N,
保健,bǎojiàn,V,
报刊,bàokān,N,
报考,bàokǎo,V,
抱歉,bàoqiàn,Adj,
暴风雨,bàofēngyǔ,N,
暴力,bàolì,N,
暴露,bàolù,V,
暴雨,bàoyǔ,N,
爆,bào,V,
爆发,bàofā,V,
爆炸,bàozhà,V,
悲惨,bēicǎn,Adj,
背心,bèixīn,N,
背着,bèizhe,,
被告,bèigào,N,
奔跑,bēnpǎo,V,
本,běn,Pron/Adv,
本地,běndì,N,
本期,běn qī,,
本身,běnshēn,Pron,
本土,běntǔ,N,
本质,běnzhì,N,
逼,bī,V,
笔试,bǐshì,V,
必将,bìjiāng,Adv,
必修,bìxiū,Adj,
闭,bì,V,
边缘,biānyuán,N,
编制,biānzhì,V,
编制,biānzhì,V,
扁,biǎn,Adj,
变更,biàngēng,V,
变换,biànhuàn,V,
变形,biànxíng,,
便,biàn,Adv/Conj,
便是,biàn shì,,
遍地,biàndì,Adv,
表面上,biǎomiàn shang,,
病房,bìngfáng,N,
病情,bìngqíng,N,
拨打,bōdǎ,V,
波动,bōdòng,V,
波浪,bōlàng,N,
播,bō,V,
不便,bùbiàn,Adj/V,
不见,bùjiàn,V,
不料,bùliào,Conj,
不再,bùzài,V,
不至于,bùzhìyú,V,
补考,bǔkǎo,V,
补课,bǔkè,,
补习,bǔxí,V,
补助,bǔzhù,V/N,
捕,bǔ,V,
不成,bùchéng,V/Adj,
不禁,bùjīn,Adv,
不仅仅,bù jǐnjǐn,,
不通,bùtōng,V,
不怎么,bùzěnme,Adv,
不怎么样,bùzěnmeyàng,,
不值,bùzhí,V,
布满,bùmǎn,,
部队,bùduì,N,
采纳,cǎinà,V,
踩,cǎi,V,
参赛,cānsài,V,
参展,cānzhǎn,V,
餐,cān,M,
残疾,cánjí,N,
残疾人,cánjírén,N,
残酷,cánkù,Adj,
惨,cǎn,Adj,
仓库,cāngkù,N,
藏,cáng,V,
操纵,cāozòng,V,
厕所,cèsuǒ,N,
侧,cè,N/V,
测定,cèdìng,V,
策划,cèhuà,V,
策略,cèlüè,N,
