character,writing_level,traditional,examples
爱,1,愛,爱 爱好 爱情 爱人 可爱
八,1,八,八 八卦 横七竖八 乱七八糟 七嘴八舌
爸,1,爸,爸爸 爸
吧,1,吧,吧 酒吧 网吧
白,1,白,白 白天 明白 白色 白菜
百,1,百,百 老百姓 百货 百分点 百分比
班,2,班,班 上班 下班 班长 班级
半,1,半,半 半年 半天 一半 半夜
帮,1,幫,帮 帮忙 帮助 帮手
包,1,包,包 包子 面包 钱包 书包
杯,2,杯,杯 杯子 干杯 世界杯 奖杯
北,1,北,北 北边 北京 北方 东北
备,1,備,准备 设备 具备 配备 预备
本,1,本,本 本子 课本 笔记本 本来
比,1,比,比 比如 比如说 比较 比例
边,1,邊,北边 东边 后边 里边 那边
别,1,別/彆,别 别的 别人 特别 分别
病,1,病,病 病人 看病 生病 毛病
不,1,不,不大 不对 不客气 不用 不
菜,1,菜,菜 菜单 白菜 蔬菜 菜市场
茶,1,茶,茶 红茶 绿茶 奶茶 茶叶
差,1,差,差 差不多 差别 差距 差点儿
常,1,常,常 常常 非常 常见 常用
场,1,場,机场 商场 场 广场 球场
唱,1,唱,唱 唱歌 演唱 演唱会 唱片
车,1,車,车 车票 车上 车站 打车
吃,1,吃,吃 吃饭 好吃 吃惊 小吃
出,1,出,出 出来 出去 出发 出国
穿,1,穿,穿 穿上 穿过 穿小鞋 穿越
床,2,床,床 起床 病床 床位 临床
次,1,次,次 上次 下次 其次 多次
从,1,從,从 从小 从来 从前 从事
错,1,錯,错 不错 错误 没错 错过
答,1,答,回答 答应 答案 报答 答
打,1,打,打 打车 打电话 打开 打球
大,1,大,不大 大 大学 大学生 大部分
蛋,1,蛋,鸡蛋 蛋 蛋糕 笨蛋 蛋白质
到,1,到,到 得到 回到 看到 来到
道,1,道,知道 道 道理 道路 味道
得,1,得,得到 记得 觉得 得 得出
地,1,地,地 地点 地方 地上 地图
的,1,的,别的 的 有的 真的 的话
等,1,等,等 等到 等于 平等 等待
弟,2,弟,弟弟 弟 兄弟 徒弟 弟子
第,1,第,第 第二 第一手 第一线
点,1,點,地点 点 一点儿 点头 观点
电,1,電,打电话 电 电话 电脑 电视
店,1,店,饭店 商店 书店 店 酒店
东,1,東,东 东边 东西 东北 东方
动,1,動,动 动作 动物 动物园 感动
都,1,都,都 首都 大都 全都 都市
读,2,讀,读 读书 读音 读者 阅读
对,1,對,不对 对 对不起 对话 对面
多,1,多,多 多少 差不多 大多数 多久
饿,1,餓,饿 饥饿 忍饥挨饿
儿,1,兒,儿子 好玩儿 没事儿 面条儿 哪儿
二,1,二,第二 二 二手 二维码 独一无二
饭,1,飯,吃饭 饭 饭店 米饭 晚饭
方,1,方,地方 北方 东方 方便 方便面
房,1,房,房间 房子 住房 房东 房屋
放,1,放,放 放假 放学 放下 放心
飞,1,飛,飞 飞机 起飞 飞行 飞船
非,1,非,非常 非 除非 并非 非金属
分,1,分,分 部分 大部分 分开 分数
风,2,風,风 一路顺风 风险 风格 风景
服,1,服,衣服 服务 舒服 服装 克服
干,1,乾/幹/干,干 干净 干什么 干杯 干活儿
高,1,高,高 高兴 高级 高中 提高
告,1,告,告诉 广告 报告 告别 转告
哥,1,哥,哥哥 哥 大哥 帅哥
歌,1,歌,唱歌 歌 歌迷 歌声 歌手
个,1,個,个 个子 个人 个性 整个
给,1,給,给 交给 送给 递给 供给
跟,1,跟,跟 高跟鞋 跟前 跟随 跟不上
工,1,工,工人 工作 打工 工厂 工程师
关,1,關,关 关上 没关系 关机 关心
馆,2,館,图书馆 饭馆 体育馆 大使馆 旅馆
贵,1,貴,贵 宝贵 珍贵 昂贵 高贵
国,1,國,国 国家 国外 外国 中国
果,1,果,水果 结果 如果 成果 果然
过,1,過,过 不过 超过 过来 过年
还,1,還,还 还是 还有 偿还 返还
孩,1,孩,孩子 男孩儿 女孩儿 小孩儿
汉,1,漢,汉语 汉字 老汉
好,1,好,爱好 好 好吃 好看 好听
号,1,號,号 信号 符号 号码 括号
喝,1,喝,喝 吃喝玩乐 喝彩
和,1,和,和 和平 暖和 温和 和谐
很,1,很,很 很难说
后,1,後/后,后 后边 后天 最后 后来
候,1,候,时候 有时候 那时候 小时候 这时候
花,1,花,花 花园 开花 鲜花 桃花
话,1,話,打电话 电话 话 说话 的话
坏,1,壞,坏 坏处 坏人 破坏 好坏
欢,1,歡,喜欢 欢迎 欢乐 悲欢离合 欢呼
回,1,回/迴,回 回答 回到 回家 回来
会,1,會,会 开会 一会儿 不一会儿 机会
火,1,火,火车 火 着火 火柴 火腿
机,1,機,电视机 飞机 机场 机票 手机
鸡,1,雞,鸡蛋 鸡 公鸡 母鸡 鹤立鸡群
几,1,幾,几 几乎 几率 寥寥无几
记,1,記,记 记得 记住 忘记 笔记
家,1,家/傢,国家 回家 家 家里 家人
假,1,假,放假 请假 假 假期 休假
间,1,間,房间 间 时间 洗手间 中间
见,1,見,见 见面 看见 听见 再见
教,1,教,教 教学楼 教师 教室 教学
叫,1,叫,叫 叫作 叫板 叫好
觉,1,覺,觉得 睡觉 感觉 自觉 发觉
姐,1,姐,姐姐 姐 小姐 大姐 姐妹
介,1,介,介绍 中介 简介 介入 介意
今,1,今,今年 今天 今后 至今 如今
进,1,進,进 进来 进去 请进 进入
京,2,京,北京 京剧
净,1,淨,干净 纯净水 净 洁净 净化
九,1,九,九
就,1,就,就 就要 早就 成就 就是
开,1,開,打开 开 开车 开会 开玩笑
看,1,看,好看 看 看病 看到 看见
考,1,考,考 考试 考生 考验 参考
渴,1,渴,渴 渴望
客,2,客,不客气 顾客 客人 旅客 请客
课,1,課,课 课本 课文 上课 下课
口,1,口,口 路口 门口 出口 人口
块,1,塊,块 一块儿 板块
快,1,快,快 快餐 快点儿 快乐 快要
来,1,來,出来 回来 进来 来 来到
老,1,老,老 老人 老师 老王 老年
了,1,了/瞭,了 除了 极了 为了 了不起
累,1,累,累 积累 劳累 累积 累计
冷,1,冷,冷 寒冷 冷静 冷气 冷水
里,1,裡/裏/里,家里 里 里边 哪里 那里
两,1,兩,两 两边 两岸 两侧 两手
零,1,零,零 零下 零食 孤零零 零花钱
六,1,六,六 五颜六色
楼,1,樓,教学楼 楼 楼上 楼下 大楼
路,1,路,路 路口 路上 马路 走路
妈,1,媽,妈妈 妈 大妈
马,1,馬,马路 马上 马 马车 黑马
吗,1,嗎,吗 干吗
买,1,買,买 购买 买卖 买不起 收买
慢,2,慢,慢 慢慢 慢车 傲慢 怠慢
忙,1,忙,帮忙 忙 连忙 急忙 慌忙
毛,2,毛,毛 毛病 毛巾 毛衣 毛笔
么,1,麼,干什么 没什么 什么 怎么 多么
没,1,沒,没 没关系 没什么 没事儿 没有
妹,2,妹,妹妹 妹 姐妹
门,1,門,门 门口 门票 出门 大门
们,1,們,们 朋友们 你们 他们 她们
米,2,米,米饭 米 毫米 厘米 玉米
面,1,面/麵,见面 面包 面条儿 对面 方便面
名,1,名,名字 有名 报名 名 名称
明,1,明,明白 明年 明天 明星 说明
拿,1,拿,拿 拿出 拿到 拿走 拿手
哪,1,哪,哪 哪里 哪儿 哪些 哪怕
那,1,那,那 那边 那里 那儿 那些
