character,writing_level,traditional,examples
奶,1,奶,奶 奶奶 牛奶 奶茶 酸奶
男,1,男,男 男孩儿 男朋友 男人 男生
南,1,南,南 南边 东南 南方 西南
难,1,難,难 难过 难看 难受 难题
脑,2,腦,电脑 头脑 脑袋 大脑 脑子
呢,1,呢,呢
能,1,能,能 可能 能够 只能 才能
你,1,你,你 你们
年,1,年,半年 今年 明年 年 去年
您,1,您,您
牛,1,牛,牛奶 牛 牛仔裤 奶牛 吹牛
女,1,女,女 女儿 女孩儿 女朋友 女人
旁,1,旁,旁边 旁 旁观 袖手旁观 一旁
跑,1,跑,跑 跑步 逃跑 奔跑 长跑
朋,1,朋,朋友们 男朋友 女朋友 朋友 小朋友
票,1,票,车票 机票 门票 票 票价
七,1,七,七 横七竖八 乱七八糟 七嘴八舌
期,1,期,日期 星期 星期日 星期天 假期
起,1,起,对不起 起 起床 起来 一起
气,1,氣,不客气 生气 天气 空气 气
汽,1,汽,汽车 公共汽车 汽水 汽油
前,1,前,前 前边 前天 面前 前年
钱,1,錢,钱 钱包 价钱 挣钱 金钱
请,1,請,请 请假 请进 请问 请坐
球,1,球,打球 球 地球 篮球 排球
去,1,去,出去 回去 进去 去 去年
热,1,熱,热 热情 热爱 热烈 热闹
人,1,人,别人 病人 工人 家人 老人
认,1,認,认识 认真 认为 否认 认出
日,1,日,日 日期 生日 星期日 节日
肉,1,肉,肉 肌肉 烤肉
三,1,三,三 再三 三明治 接二连三 举一反三
山,1,山,山 爬山 登山 山区 山峰
商,2,商,商场 商店 商量 商人 商品
上,1,上,车上 地上 关上 楼上 路上
少,1,少,多少 少 不少 青少年 少数
绍,1,紹,介绍
身,1,身,身上 身体 全身 身边 身份证
什,1,什,干什么 没什么 什么 什么样 为什么
生,1,生,大学生 男生 女生 生病 生气
师,1,師,老师 教师 工程师 律师 摄影师
十,1,十,十 十分 十足 十字路口
时,1,時,时候 时间 小时 有时候 有时
识,1,識,认识 知识 常识 意识 识
事,1,事,没事儿 事 故事 好事 事情
试,1,試,考试 试 试题 试验 测试
视,1,視,电视 电视机 重视 电视剧 电视台
是,1,是,还是 是 是不是 但是 可是
手,1,手,手 手机 洗手间 举手 手表
书,1,書,读书 书 书包 书店 图书馆
树,1,樹,树 树林 树叶 松树 桃树
谁,1,誰,谁 谁知道
水,1,水,水 水果 水平 药水 凉水
睡,1,睡,睡 睡觉 午睡 睡着 睡眠
说,1,說,说 说话 比如说 说明 听说
四,1,四,四 四周 四处 四合院 四季
送,1,送,送 送到 送给 发送 赠送
诉,1,訴,告诉 投诉 起诉 倾诉 上诉
岁,1,歲,岁 岁月 岁数
他,1,他,他 他们 其他 吉他 他人
她,1,她,她 她们
太,1,太,太 不太 太太 太阳 老太太
体,1,體,身体 全体 体育 体育场 体育馆
天,1,天,白天 半天 后天 今天 明天
条,2,條,面条儿 条 条件 便条 薯条
听,1,聽,好听 听 听到 听见 听写
同,1,同,同学 不同 同时 同事 同样
图,2,圖,地图 图书馆 图片 图 图画
外,1,外,国外 外 外边 外国 外语
玩,1,玩,好玩儿 开玩笑 玩儿 玩具 游玩
晚,1,晚,晚 晚饭 晚上 晚安 晚报
网,1,網,上网 网上 网友 网 网球
忘,1,忘,忘 忘记 难忘 废寝忘食 念念不忘
文,1,文,课文 中文 英文 作文 外文
问,1,問,请问 问 问路 问题 访问
我,1,我,我 我们 自我
五,1,五,五 五颜六色 三番五次 五花八门 五星级
午,1,午,上午 午饭 下午 中午 午餐
西,1,西,东西 西 西边 西北 西餐
息,1,息,休息 信息 消息 利息 出息
习,1,習,学习 复习 练习 实习 习惯
洗,1,洗,洗 洗手间 洗衣机 洗澡 清洗
喜,1,喜,喜欢 喜爱 喜剧 惊喜 恭喜
系,1,係/繫/系,没关系 关系 联系 系 系列
下,1,下,楼下 下 下班 下边 下车
先,1,先,先 先生 领先 首先 先进
现,1,現,现在 出现 发现 实现 表现
想,1,想,想 理想 想到 想法 想起
小,1,小,小 小孩儿 小姐 小朋友 小时
校,2,校,学校 校园 校长 夜校
笑,1,笑,开玩笑 笑 笑话 笑话儿 微笑
些,1,些,哪些 那些 一些 有些 有一些
写,1,寫,听写 写 写作 抄写 描写
谢,1,謝,谢谢 感谢 新陈代谢
新,1,新,新 新年 重新 新闻 创新
星,1,星,星期 星期日 星期天 明星 星星
行,1,行,行 不行 进行 举行 流行
兴,1,興,高兴 感兴趣 兴奋 兴趣 新兴
休,1,休,休息 休假 退休 休闲 罢休
学,1,學,大学 大学生 放学 教学楼 上学
样,1,樣,一样 那样 什么样 同样 样子
要,1,要,要 重要 不要 就要 快要
爷,2,爺,爷爷 大爷 姥爷
也,1,也,也 也许 也好 再也 也就是说
页,2,頁,页 网页 主页
一,1,一,一 一半 一会儿 一块儿 一下儿
衣,1,衣,衣服 大衣 洗衣机 衬衣 上衣
医,1,醫,医生 医院 西医 中医 医疗
影,2,影,电影 电影院 影片 影响 影视
用,1,用,不用 用 有用 常用 使用
友,1,友,朋友们 男朋友 女朋友 朋友 网友
有,1,有,还有 没有 有 有的 有名
右,2,右,右 右边 左右 左顾右盼 座右铭
雨,1,雨,下雨 雨 雨水 暴风雨 暴雨
语,1,語,汉语 外语 词语 英语 语言
元,2,元,元 单元 美元 公元 元旦
远,1,遠,远 永远 跳远 远处 长远
院,1,院,电影院 学院 医院 出院 院
月,1,月,月 月份 月亮 上个月 下个月
再,1,再,再 再见 一再 再三 再次
在,1,在,现在 在 在家 正在 实在
早,1,早,早 早饭 早上 早餐 早晨
怎,1,怎,怎么 怎么办 怎么样 怎样 不怎么
站,1,站,车站 站 地铁站 网站 站住
找,1,找,找 找到 找出 寻找 查找
这,1,這,这 这边 这里 这儿 这些
着,1,著,着 接着 睡着 着火 着急
真,1,真,认真 真 真的 真正 真实
正,1,正,正 正在 真正 正常 正好
知,1,知,知道 知识 通知 通知书 知名
中,1,中,中 中国 中间 中文 中午
重,2,重,重 重要 重复 重新 重点
住,1,住,记住 住 站住 住房 住院
准,1,準/准,准备 准确 标准 批准 准
桌,2,桌,桌子 书桌 餐桌
子,1,子,包子 杯子 本子 儿子 房子
字,1,字,汉字 名字 字 数字 字典
走,1,走,走 走路 走过 走进 走开
最,2,最,最 最好 最后 最近 最初
昨,1,昨,昨天
左,2,左,左 左边 左右 左顾右盼
作,1,作,动作 工作 叫作 作家 作文
坐,1,坐,请坐 坐 坐下 乘坐 坐落
做,1,做,做 做到 做法 做饭 做客
