character,writing_level,traditional,examples
磨,,磨,磨 打磨 磨合 磨难 磨损
墨,,墨,墨水 墨
谋,,謀,阴谋 参谋 谋害 谋求 谋生
墓,,墓,墓 坟墓 公墓 墓碑 墓地
纳,,納,采纳 归纳 交纳 缴纳 接纳
泥,,泥,泥 水泥 泥潭 泥土
扭,,扭,扭 别扭 扭曲 扭头 扭转
怒,,怒,发怒 愤怒 恼羞成怒 喜怒哀乐
诺,,諾,承诺 诺言
盼,3,盼,盼望 盼 期盼 左顾右盼
泡,,泡,泡 灯泡 浸泡 泡沫 气泡
炮,,炮/砲,炮 鞭炮 马后炮
偏,,偏,偏 偏差 偏方 偏见 偏僻
贫,,貧,贫困 贫富 贫穷
聘,,聘,聘请 招聘 聘 聘任 聘用
屏,,屏,屏幕
坡,,坡,坡 山坡
扑,,撲,扑 红扑扑 扑克 扑面而来
铺,,鋪,铺 卧铺 铺路
欺,,欺,欺负 欺骗 欺诈
旗,,旗,国旗 锦旗 旗袍 旗帜
恰,,恰,恰当 恰好 恰恰 恰到好处 恰恰相反
迁,,遷,拆迁 搬迁 变迁 迁 迁就
牵,,牽,牵 牵扯 牵挂 牵涉 牵头
铅,,鉛,铅笔 铅
谦,,謙,谦虚 谦逊
潜,,潛,潜力 潜能 潜水 潜艇 潜移默化
歉,,歉,抱歉 道歉 歉意
茄,,茄,番茄 茄子
侵,,侵,侵犯 侵害 侵略 侵权 侵占
倾,,傾,倾向 倾家荡产 倾诉 倾听 倾销
渠,,渠,渠道
券,,券,券 入场券
融,,融,金融 融合 融入 融 融化
乳,,乳,乳制品
若,,若,若 若干 倘若
塞,,塞,塞 堵塞
丧,,喪,丧失 垂头丧气 沮丧 丧生
勺,2,勺,勺
舌,2,舌,舌头 七嘴八舌
涉,,涉,干涉 涉及 交涉 牵涉 涉嫌
审,,審,审查 评审 审 审定 审核
牲,,牲,牺牲 牲畜
圣,3,聖,圣诞节 神圣 圣贤
盛,,盛,昌盛 盛行 盛 丰盛 茂盛
薯,,薯,薯片 薯条 红薯
爽,3,爽,爽 凉爽 爽快
税,,稅,税 关税 纳税 纳税人 税收
寺,3,寺,寺 清真寺 少林寺 寺庙
苏,,甦,复苏 苏醒
素,3,素,素质 维生素 要素 因素 元素
塔,,塔,塔 金字塔
踏,,踏,踏实 踏 踏上
叹,,嘆,叹气 感叹 惊叹 赞叹 赞叹不已
探,,探,探索 探讨 勘探 试探 探
趟,,趟,趟
掏,,掏,掏 掏钱
踢,,踢,踢
添,,添,添 画蛇添足 添加 增添
田,2,田,田 田径
铜,,銅,铜牌 铜
徒,,徒,徒弟 歹徒 徒步
吞,,吞,吞
拖,,拖,拖 拖鞋 拖累 拖欠 拖延
挖,,挖,挖 挖掘 挖苦
娃,,娃,娃娃
哇,,哇,哇
湾,,灣,海湾
顽,,頑,顽皮 顽强 顽固
亡,3,亡,伤亡 死亡 灭亡 逃亡 亡羊补牢
旺,,旺,兴旺 旺 旺季 旺盛
威,,威,威胁 权威 示威 威风 威力
乌,,烏,乌云
伍,,伍,队伍
悟,,悟,觉悟 恍然大悟 领悟 醒悟
牺,,犧,牺牲
嫌,,嫌,嫌 涉嫌 嫌弃 嫌疑
陷,,陷,缺陷 陷入 陷 陷阱
祥,,祥,吉祥 慈祥 吉祥物 祥和
晓,,曉,晓得 家喻户晓 揭晓
胁,,脅,威胁
谐,,諧,和谐
械,,械,机械 器械
薪,,薪,薪水 年薪
凶,3,凶/兇,凶 凶手 凶残 凶恶 凶狠
袖,,袖,领袖 袖珍 袖手旁观
绪,,緒,情绪
悬,,懸,悬 悬挂 悬念 悬殊 悬崖
旋,,旋,旋转 旋律 旋涡 周旋
循,,循,循环 循序渐进 遵循
讯,,訊,通讯 电讯 资讯
炎,3,炎,发炎 炎热 炎症
沿,,沿,沿 沿海 沿着 前沿 沿岸
宴,,宴,宴会
洋,,洋,海洋 洋 出洋相 汪洋 喜洋洋
仰,,仰,信仰 仰 久仰 前仰后合 瞻仰
氧,,氧,氧气 二氧化碳 氧
耀,,耀,照耀 夸耀 炫耀 耀眼
野,,野,野 野生 视野 野餐 野炊
液,,液,血液 输液 唾液 液晶 液体
仪,,儀,仪器 仪式 礼仪 仪表
