character,writing_level,traditional,examples
啊,2,啊,啊
安,2,安,安静 安全 平安 晚安 一路平安
般,2,般,一般 一般来说
板,2,板/闆,黑板 板 老板 地板 板块
办,2,辦,办 办法 办公室 怎么办 办理
饱,2,飽,饱 饱和 饱满
报,2,報,报名 报纸 日报 晚报 报
背,2,背,背 背后 背景 背包 背心
笔,2,筆,笔 笔记 笔记本 钢笔 毛笔
必,2,必,必须 必然 必要 不必 未必
变,2,變,变 变成 改变 变化 变为
便,2,便,方便 方便面 便宜 随便 便利
遍,2,遍,遍 普遍 遍地 遍布
表,2,表/錶,表 表示 手表 表达 表格
部,2,部,部分 大部分 全部 一部分 北部
才,1,才,才 刚才 才能 人才 天才
参,2,參,参观 参加 参考 参与 参赛
餐,2,餐,快餐 晚餐 午餐 西餐 早餐
草,2,草,草 草地 草原 草案 草坪
层,2,層,层 层次 层面 高层 层出不穷
查,2,查,查 检查 调查 查询 查出
长,1,長,班长 长 队长 家长 市长
超,2,超,超过 超市 超级 超越 超
晨,2,晨,早晨 清晨 凌晨
称,2,稱,称 名称 称为 称赞 称号
成,2,成,变成 成 成绩 成为 完成
楚,2,楚,清楚
处,2,處,到处 好处 坏处 长处 处理
船,3,船,船 划船 轮船 船员 船长
吹,2,吹,吹 吹了 吹牛 吹捧
春,2,春,春节 春天 春季 青春 青春期
词,2,詞,词 词典 词语 生词 词汇
带,2,帶,带 带来 带动 带领 带有
单,2,單,菜单 单位 名单 单元 简单
但,1,但,不但 但 但是 但愿
当,1,當,当 当时 当初 当地 当然
倒,2,倒,倒 倒闭 倒车 倒是 摔倒
灯,2,燈,灯 灯光 电灯 台灯 灯笼
低,2,低,低 降低 低于 低头 低温
典,2,典,词典 字典 典型 经典 辞典
掉,2,掉,掉 去掉 掉队 掉头 丢掉
定,2,定,不一定 一定 定期 否定 规定
冬,2,冬,冬天 冬季
懂,2,懂,懂 懂得 懂事
度,2,度,度 角度 态度 温度 程度
短,2,短,短 短信 短处 短裤 短期
段,2,段,段 阶段 手段 地段 段落
队,2,隊,队 队长 排队 球队 队员
而,1,而,而且 而 而是 反而 然而
发,2,發/髮,出发 发 发现 头发 发表
法,2,法,办法 方法 看法 想法 做法
份,2,份,份 月份 身份证 身份 份额
封,3,封,封 信封 封闭 封顶 封建
复,2,複/覆/復,重复 复习 反复 复印 复杂
该,1,該,该 应该 活该
改,2,改,改 改变 改进 改造 修改
感,2,感,感到 感动 感觉 感谢 感冒
刚,2,剛,刚 刚才 刚刚 刚好 刚毅
更,1,更,更 更加 更换 更新 变更
公,2,公,办公室 公共汽车 公交车 公斤 公里
共,2,共,公共汽车 一共 公共 共同 共有
狗,2,狗,狗
够,2,夠,不够 够 能够 足够 够呛
故,2,故,故事 故意 故乡 事故 故障
顾,2,顧,顾客 照顾 不顾 顾问 回顾
观,2,觀,参观 观点 观察 观看 观念
惯,2,慣,习惯 惯 惯例 惯性 娇惯
广,2,廣,广场 广告 广播 广大 推广
海,2,海,大海 海 海边 海关 海水
喊,2,喊,喊 呐喊
合,2,合,合适 场合 合 合法 合格
河,2,河,河 河流 河畔 运河
黑,1,黑,黑 黑板 黑色 黑暗 黑夜
红,2,紅,红 红色 红茶 红酒 红包
忽,2,忽,忽然 忽视 忽略 忽高忽低 忽悠
湖,2,湖,湖 湖泊
护,2,護,护照 保护 爱护 护士 维护
划,2,劃/划,计划 划船 划 规划 划分
画,2,畫,画 画家 画儿 图画 动画片
换,2,換,换 交换 更换 转换 变换
黄,2,黃,黄 黄色 黄瓜 黄金 黄昏
