character,writing_level,traditional,examples
活,2,活,干活儿 活动 生活 活 活力
或,2,或,或 或者 或许 或是 或多或少
级,2,級,高级 级 年级 中级 班级
急,2,急,急 紧急 急忙 着急 急救
己,2,己,自己 身不由己 损人利己 知己
计,2,計,计划 计算机 计算 设计 预计
际,2,際,国际 实际 实际上 交际
绩,2,績,成绩 业绩
加,2,加,参加 加 加油 更加 加工
检,2,檢,检查 检测 体检 检验 安检
件,2,件,件 条件 电子邮件 事件 文件
健,2,健,健康 健身 健全 保健 健美
讲,2,講,讲 讲话 听讲 讲究 讲座
交,2,交,公交车 交 交给 交朋友 交通
角,2,角,角 角度 角色 主角 角落
饺,2,餃,饺子
脚,2,腳,脚 脚步 脚印 手脚 指手画脚
接,2,接,接 接到 接受 接下来 接着
街,2,街,街 街道 大街 街头 大街小巷
节,2,節,春节 节 节目 节日 音节
结,2,結,结果 结实 结合 结婚 结束
借,1,借,借 借鉴 借口 借条 借用
斤,2,斤,公斤 斤
近,2,近,近 最近 将近 接近 近期
经,2,經,经常 经过 经理 已经 曾经
睛,2,睛,眼睛 画龙点睛 目不转睛
静,2,靜,安静 静 冷静 宁静 平静
久,2,久,不久 多久 好久 久 长久
酒,1,酒,酒 酒店 红酒 啤酒 酒吧
举,2,舉,举 举手 举行 举办 举动
句,2,句,句 句子 一句话
卡,2,卡,卡 信用卡 银行卡 贺卡 磁卡
康,2,康,健康 康复 小康
靠,2,靠,靠 可靠 依靠 靠近 靠拢
科,2,科,科学家 科 科学 科技 本科
可,1,可,可爱 可能 可怕 可是 可以
克,2,克,克 千克 克服 巧克力 克隆
刻,2,刻,刻 立刻 深刻 时刻 此刻
空,2,空,空气 有空儿 空 空调 空儿
哭,2,哭,哭 哭泣 哭笑不得
筷,2,筷,筷子
拉,2,拉,拉 拉开 阿拉伯语 拉动 拉拢
蓝,2,藍,蓝 蓝色 蓝领 蓝天 蓝图
篮,2,籃,篮球 摇篮
乐,2,樂,快乐 音乐 音乐会 欢乐 可乐
离,2,離,离 离开 离婚 距离 离不开
礼,2,禮,礼物 婚礼 典礼 礼 礼拜
理,2,理,道理 经理 理想 办理 处理
力,2,力,努力 动力 力 力量 能力
利,2,利,流利 顺利 利用 胜利 有利
例,2,例,例如 例子 比例 例外 惯例
脸,2,臉,脸 脸盆 脸色 笑脸 愁眉苦脸
练,2,練,练 练习 教练 训练 熟练
凉,2,涼,凉 凉快 凉水 凉鞋 荒凉
亮,2,亮,亮 漂亮 月亮 明亮 洪亮
辆,2,輛,车辆 辆
量,2,量,大量 商量 尽量 力量 数量
留,2,留,留 留下 留学生 保留 留学
流,2,流,流 流利 流行 交流 潮流
旅,2,旅,旅客 旅行 旅游 旅馆 旅行社
绿,2,綠,绿 绿色 绿茶 绿化 碧绿
论,2,論,讨论 不论 理论 辩论 结论
卖,2,賣,卖 外卖 买卖 出卖 倒卖
满,2,滿,不满 满 满意 充满 满足
猫,2,貓,猫 大熊猫
末,3,末,周末 末 期末 末日
目,2,目,节目 目的 目标 目前 题目
鸟,2,鳥,鸟 鸟巢
弄,2,弄,弄 嘲弄 卖弄 弄虚作假
努,2,努,努力
爬,2,爬,爬 爬山 连滚带爬
怕,1,怕,可怕 怕 害怕 恐怕 哪怕
排,2,排,排 排队 排球 安排 排名
碰,2,碰,碰 碰到 碰见 碰钉子 碰巧
篇,2,篇,篇 篇幅
片,2,片,片 图片 药片 影片 照片
漂,2,漂,漂亮 漂
平,2,平,公平 平 平安 平常 平等
瓶,2,瓶,瓶 瓶子 花瓶 瓶颈
普,2,普,普通 普通话 普遍 普及 吉普
其,2,其,其他 其中 其次 其实 极其
骑,2,騎,骑 骑车
千,2,千,千 千克 千万 成千上万 千变万化
墙,3,牆,墙 墙壁 城墙 防火墙 围墙
且,2,且,而且 并且 况且 且
青,2,青,青年 青少年 青春 青 青春期
轻,2,輕,年轻 轻 轻松 轻易 减轻
清,2,清,清楚 清醒 清晨 清理 清
情,2,情,爱情 热情 事情 心情 感情
晴,3,晴,晴 晴天 晴朗
秋,2,秋,秋天 秋季 中秋节
求,2,求,请求 求 要求 需求 征求
取,2,取,取 取得 采取 取消 争取
全,2,全,安全 全 全部 全国 全家
确,2,確,正确 准确 明确 确保 确定
然,1,然,大自然 忽然 然后 虽然 必然
让,1,讓,让 转让 让座 让步 退让
如,2,如,比如 比如说 不如 例如 如果
入,2,入,进入 入口 收入 深入 输入
色,2,色,白色 黑色 红色 黄色 蓝色
声,2,聲,大声 声音 小声 歌声 声明
省,2,省,省 节省 省钱 反省 省略
实,2,實,实际 实习 实现 实在 结实
食,2,食,食物 美食 食品 粮食 零食
使,2,使,使用 大使馆 使 促使 使劲
示,2,示,表示 显示 暗示 示范 提示
市,2,市,超市 市 市长 城市 市场
适,2,適,合适 适合 适应 适用 舒适
室,2,室,办公室 教室 实验室 室 卧室
收,2,收,收 收到 收入 收费 收看
受,2,受,接受 难受 受到 感受 受
舒,2,舒,舒服 舒适 舒畅
熟,2,熟,熟 成熟 熟人 熟练 熟悉
数,2,數,大多数 多数 分数 人数 少数
顺,2,順,顺利 一路顺风 顺序 顺 顺便
司,2,司,公司 司机 寿司 打官司 官司
思,2,思,不好意思 意思 有意思 思想 思考
算,2,算,打算 计算机 算 计算 总算
虽,2,雖,虽然 虽 虽说
随,2,隨,随便 随时 随 随手 跟随
所,1,所,所以 所有 场所 所 所长
它,2,它,它 它们
态,2,態,态度 状态 动态 心态 形态
堂,2,堂,课堂 食堂 教堂 礼堂 天堂
讨,2,討,讨论 讨厌 探讨 检讨 乞讨
套,2,套,套 手套 套餐 外套 配套
特,2,特,特别 特点 特色 独特 模特儿
疼,2,疼,疼 心疼 疼痛 头疼
提,2,提,提 提出 提到 提高 提前
题,2,題,难题 题 问题 标题 话题
铁,3,鐵,地铁 地铁站 铁 铁路 高铁
庭,2,庭,家庭 法庭 大家庭
停,2,停,停 停车 停车场 停止 停下
挺,2,挺,挺 挺好
通,2,通,交通 普通 普通话 通 通过
头,2,頭,点头 里头 头 头发 老头儿
推,2,推,推 推动 推广 推进 推开
腿,2,腿,腿 火腿
完,1,完,完 完成 完全 完美 完善
碗,2,碗,碗 饭碗
万,2,萬,万 千万 万一 成千上万 鹏程万里
王,2,王,老王 小王 王 国王 王后
往,2,往,往 交往 前往 往往 以往
为,1,為,成为 认为 为 为什么 行为
位,2,位,单位 位 座位 各位 地位
味,2,味,味道 味儿 意味着 风味 回味
喂,,喂/餵,喂 喂养
温,2,溫,气温 温度 温暖 降温 高温
闻,2,聞,闻 新闻 丑闻 传闻 耳闻目睹
务,2,務,服务 公务员 任务 服务员 家务
物,2,物,动物 动物园 礼物 食物 购物
夏,2,夏,夏天 夏季 夏令营
相,2,相,相同 相信 相机 照相 互相
响,2,響,响 影响 反响 影响力 响声
向,1,向/嚮,方向 向 向导 向前 向上
像,2,像,好像 像 偶像 摄像 摄像机
鞋,2,鞋,球鞋 鞋 高跟鞋 皮鞋 凉鞋
心,2,心,放心 关心 开心 小心 心里
信,2,信,短信 相信 信 信号 信息
姓,2,姓,姓 姓名 老百姓 姓氏
须,2,須,必须 无须 须
许,2,許,许多 也许 或许 不许 许可
选,2,選,选 选手 挑选 选择 当选
雪,2,雪,下雪 雪 冰雪 滑雪 瑞雪
言,2,言,语言 发言 言语 传言 发言人
颜,2,顏,颜色 五颜六色 容颜
眼,2,眼,眼 眼睛 眼前 眼镜 眼泪
阳,2,陽,太阳 阳光 阳台 太阳能 晒太阳
养,2,養,养 营养 疗养 培养 养成
药,2,藥,药 药店 药片 药水 药物
业,2,業,作业 创业 工业 就业 开业
夜,2,夜,半夜 夜 夜里 夜间 黑夜
宜,2,宜,便宜 不宜 事宜 适宜
已,2,已,已经 已 早已 不得已 不已
以,1,以,可以 所以 以后 以前 以上
椅,2,椅,椅子 轮椅 藤椅
亿,2,億,亿
意,1,意,不好意思 故意 满意 意见 意思
因,1,因,因为 原因 因此 因而 因
阴,3,陰,阴 阴天 阴谋 阴影 阴暗
音,2,音,读音 声音 音节 音乐 音乐会
银,2,銀,银行 银行卡 银 银牌 银幕
印,2,印,打印 复印 印象 印刷 打印机
应,1,應,答应 应该 反应 适应 应当
英,3,英,英文 英语 英勇 英雄 精英
迎,3,迎,欢迎 迎接 迎来 迎 迎合
永,2,永,永远 永不 永恒 永久
由,2,由,自由 理由 由 由于 由此
油,2,油,加油 油 石油 加油站 汽油
游,3,遊/游,旅游 游客 游 游戏 游泳
又,1,又,又
于,2,於/于,等于 属于 由于 终于 处于
鱼,2,魚,鱼 钓鱼 鳄鱼 鲨鱼
育,2,育,教育 体育 体育场 体育馆 培育
园,3,園,动物园 公园 花园 校园 幼儿园
原,2,原,原来 原因 原料 原则 草原
愿,2,願,愿意 愿望 志愿者 志愿 愿
越,2,越,越 越来越 超越 穿越 跨越
云,2,雲,多云 云 乌云 风云
运,2,運,运动 命运 幸运 运输 亚运会
咱,2,咱,咱 咱们
脏,2,髒/臟,脏 心脏 心脏病 肝脏
澡,2,澡,洗澡
占,2,占/佔,占 占领 占有 占据 霸占
照,2,照,护照 照顾 照片 照相 按照
者,2,者,或者 读者 记者 者 志愿者
直,2,直,一直 直接 简直 直 直播
只,2,只/隻,只 只能 只要 只好 只是
纸,2,紙,报纸 纸 图纸 造纸术
钟,3,鐘,分钟 钟 闹钟 钟头 警钟
周,2,周/週,上周 下周 周 周末 周年
主,2,主,主人 主要 主持 主动 主任
助,1,助,帮助 赞助 辅助 助理 助手
装,2,裝,装 安装 服装 装修 装置
自,2,自,大自然 来自 自己 自行车 自由
租,2,租,出租 出租车 租 房租 租金
组,2,組,小组 组 组成 组长 分组
嘴,,嘴,嘴 嘴巴 插嘴 吵嘴 咧嘴
座,2,座,座 座位 讲座 让座 座谈会
